#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
371,Coby Mayo,BAL,22,73,81,16,10,3,0,3,9,9,7,0,23,1,0,0,1,0,1,0.222,0.294,0.398,0.691,0.28,28.70%,8.20%
372,Michael Conforto,,80,271,311,60,38,12,0,10,34,36,33,1,77,4,2,0,1,0,1,0.221,0.313,0.381,0.694,0.268,24.90%,10.50%
373,Ryan Ritter,COL,55,188,208,46,32,9,1,3,23,19,14,0,57,3,1,2,4,1,3,0.245,0.307,0.363,0.67,0.33,27.20%,6.70%
374,Curtis Mead,CHW,29,98,107,24,16,5,0,3,11,11,6,0,22,2,1,0,1,1,0,0.24,0.297,0.376,0.672,0.282,20.70%,6.00%
375,Luis Urias,,41,135,152,30,21,5,0,4,16,15,13,0,28,3,1,0,1,0,1,0.222,0.304,0.345,0.649,0.252,18.40%,8.70%
376,Andruw Monasterio,BOS,27,83,91,20,13,4,0,2,10,10,7,0,22,1,1,0,2,1,1,0.237,0.301,0.372,0.674,0.293,24.30%,7.80%
377,Hyeseong Kim,LAD,49,160,172,39,29,7,1,2,21,15,10,0,39,1,1,0,6,1,5,0.243,0.288,0.34,0.628,0.307,22.90%,5.70%
378,Leo De Vries,ATH,9,32,35,8,4,2,0,1,4,4,3,0,8,0,0,0,1,0,1,0.245,0.31,0.441,0.751,0.283,22.70%,8.00%
379,Everson Pereira,CHW,58,201,221,44,28,8,1,7,24,23,16,0,70,2,1,0,4,1,3,0.219,0.284,0.372,0.656,0.298,31.90%,7.40%
380,Jesus Rodriguez,SFG,11,38,42,10,7,2,0,1,5,4,3,0,6,0,0,0,1,0,1,0.264,0.319,0.367,0.686,0.302,15.60%,7.00%
381,Johan Rojas,PHI,35,113,124,27,20,4,1,2,14,8,6,0,27,1,1,2,7,1,6,0.235,0.279,0.331,0.61,0.292,21.70%,5.00%
382,Moises Ballesteros,CHC,90,310,343,79,55,15,1,8,37,39,27,2,65,2,3,1,1,0,1,0.254,0.316,0.387,0.704,0.295,18.80%,7.90%
383,Ryan Bliss,SEA,29,95,105,20,14,4,1,2,13,8,8,0,28,1,1,1,6,2,4,0.213,0.277,0.336,0.613,0.279,27.10%,7.30%
384,Tyrone Taylor,NYM,80,271,294,62,40,13,2,7,33,27,15,0,68,5,2,1,8,2,6,0.227,0.278,0.366,0.644,0.276,23.00%,5.10%
385,Josh Rojas,KCR,25,85,95,20,13,4,0,2,11,9,9,0,21,0,1,0,2,1,1,0.232,0.305,0.36,0.665,0.283,22.10%,9.40%
386,Eli White,ATL,34,108,117,26,18,4,1,3,15,11,7,0,32,1,1,0,4,1,3,0.241,0.291,0.385,0.676,0.312,27.60%,5.70%
387,Max Schuemann,NYY,26,77,87,17,12,3,0,1,9,7,7,0,20,1,1,1,2,1,1,0.222,0.301,0.328,0.628,0.276,22.50%,8.50%
388,Dominic Keegan,TBR,18,61,67,14,9,3,0,2,6,7,5,0,18,1,0,0,0,0,0,0.228,0.287,0.364,0.651,0.295,27.20%,6.80%
389,Jon Berti,,49,151,165,36,28,6,1,1,19,12,11,0,37,1,1,1,8,2,6,0.241,0.298,0.319,0.618,0.308,22.20%,6.80%
390,Otto Kemp,PHI,58,199,221,47,30,10,1,7,26,25,15,1,62,5,2,0,4,1,3,0.238,0.306,0.398,0.704,0.309,28.00%,6.70%
