Unnamed: 0,#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
21,23,Marcus Semien,TEX,147,479.80298507462686,534.0,101.22089552238808,0.2238805970149254,0.7401574803149605,0.23622047244094485,0.023622047244094484,0.034328358208955224,0.14477611940298507,0.12388059701492539,0.09253731343283582,0.0014925373134328358,0.15522388059701495,0.004477611940298508,0.004477611940298508,0.0,0.013432835820895522,0.002985074626865672,0.010447761194756554,0.249,0.3208955223880597,0.4235880398671096,0.7444835622551693,0.2656903765690376,15.522388059701491,9.25373134328358,470,534,93,0.20224719101123595,0.8172043010752689,0.17204301075268819,0.010752688172043012,0.028089887640449437,0.11610486891385768,0.11610486891385768,0.09363295880149813,0.0,0.17415730337078653,0.009363295880149813,0.016853932584269662,0.0,0.020599250936329586,0.0018726591760299626,0.018726591760299626,0.23,0.305,0.364,0.669,0.251,17.4,9.4
22,24,Austin Riley,ATL,140,398.8956953642384,446.99999999999994,88.067880794702,0.24503311258278151,0.7310924369747898,0.2521008403361344,0.016806722689075623,0.04801324503311258,0.14072847682119205,0.14569536423841062,0.08278145695364239,0.0016556291390728477,0.24337748344370866,0.01490066225165563,0.009933774834437087,0.0,0.0016556291390728477,0.0,0.0016556291390728477,0.275,0.3427152317880794,0.4990723562152133,0.8417875880032928,0.3224932249322493,24.337748344370866,8.278145695,416,447,92,0.24161073825503357,0.7717391304347826,0.21739130434782608,0.010869565217391304,0.035794183445190156,0.12080536912751678,0.12080536912751678,0.06040268456375839,0.0022371364653243847,0.28635346756152125,0.006711409395973154,0.0022371364653243847,0.0,0.0044742729306487695,0.0022371364653243847,0.0022371364653243847,0.26,0.309,0.428,0.737,0.337,28.6,6.0
23,25,Corbin Carroll,ARI,152,556.1398176291793,642.0,121.96048632218844,0.22188449848024316,0.7120000000000001,0.2,0.08800000000000001,0.031914893617021274,0.16565349544072946,0.13069908814589665,0.1033434650455927,0.001519756838905775,0.20212765957446807,0.0182370820668693,0.007598784194528876,0.004559270516717325,0.05167173252279635,0.00911854103343465,0.0425531914893617,0.256,0.3450381679389313,0.4491228070175438,0.7941609749564751,0.2969121140142517,20.212765957446805,10.33434650455927,564,642,115,0.22741433021806853,0.5739130434782609,0.2782608695652174,0.14782608695652175,0.048286604361370715,0.16666666666666666,0.1308411214953271,0.1043613707165109,0.006230529595015576,0.2383177570093458,0.010903426791277258,0.006230529595015576,0.0,0.04984423676012461,0.009345794392523364,0.040498442367601244,0.259,0.343,0.541,0.883,0.299,23.8,10.4
24,26,Freddie Freeman,LAD,142,542.7312000000001,627.0000000000001,139.44480000000001,0.2576,0.7338129496402878,0.2517985611510791,0.014388489208633093,0.035199999999999995,0.15039999999999998,0.1392,0.11199999999999999,0.014399999999999998,0.15999999999999995,0.014399999999999998,0.007999999999999998,0.0,0.015999999999999997,0.0031999999999999997,0.012799999999999999,0.298,0.384,0.4916820702402957,0.8756820702402958,0.3278301886792453,16.0,11.2,556,627,140,0.26156299840510366,0.7071428571428572,0.2785714285714286,0.014285714285714285,0.03827751196172249,0.1291866028708134,0.14354066985645933,0.09569377990430622,0.011164274322169059,0.20414673046251994,0.009569377990430622,0.007974481658692184,0.0,0.009569377990430622,0.003189792663476874,0.006379585326953748,0.295,0.367,0.502,0.869,0.342,20.4,9.6
25,27,Wyatt Langford,TEX,141,512.1247892074199,573.0,115.95278249477235,0.24114671169284468,0.7083333331334836,0.2499999999294648,0.041666666654910804,0.0387858347386172,0.1433389544688027,0.1467116357504216,0.09274873524451939,0.0033726812816188873,0.19898819561551434,0.008431703204047219,0.00505902192242833,0.0,0.03204047217537943,0.0067453625632377745,0.025295109612141653,0.27,0.34232715,0.4754716981132075,0.8177988481975246,0.3061224489795918,19.89881956155143,9.274873524,489,573,96,0.20593368237347295,0.7291666666666666,0.2604166666666667,0.010416666666666666,0.038394415357766144,0.1273996509598604,0.1082024432809773,0.12914485165794065,0.005235602094240838,0.26352530541012215,0.008726003490401396,0.008726003490401396,0.0,0.038394415357766144,0.010471204188481676,0.027923211169284468,0.241,0.344,0.431,0.775,0.299,26.4,12.9
26,28,Nico Hoerner,CHC,147,591.2411003236246,648.9999999999999,153.32362459514886,0.25080906148867316,0.7808219178098508,0.19863013698671644,0.02054794520552239,0.014563106796610171,0.1262135922342065,0.09708737864077671,0.06634304207119741,0.003236245954692557,0.10841423948220066,0.017799352750809065,0.004854368932038835,0.0,0.0453074433656958,0.008090614886731391,0.0372168284789644,0.275,0.3349514563106796,0.3854351687388987,0.7203866250495784,0.2979591836734694,10.841423948220063,6.634304207119741,599,649,171,0.27426810477657937,0.8070175438596491,0.1695906432748538,0.023391812865497075,0.01078582434514638,0.13713405238828968,0.09399075500770417,0.060092449922958396,0.0015408320493066256,0.07550077041602465,0.01078582434514638,0.0061633281972265025,0.0,0.04468412942989214,0.009244992295839754,0.03543913713405239,0.297,0.345,0.394,0.739,0.313,7.6,6.0
27,29,Willy Adames,SFG,152,613.6775194,686.0,126.56434108527132,0.22015503875968995,0.6974789915966386,0.29411764705882354,0.008403361344537816,0.03565891472868218,0.12093023255813955,0.12868217054263567,0.09612403100775194,0.0031007751937984504,0.2310077519379845,0.0031007751937984504,0.0062015503875969,0.0,0.020155038759689926,0.004651162790697674,0.01550387596899225,0.246,0.3193798449612403,0.4298093587521663,0.7491892037134067,0.2909535452322738,23.10077519379845,9.612403100775191,591,686,103,0.19387755102040816,0.7669902912621359,0.21359223300970873,0.019417475728155338,0.043731778425655975,0.13702623906705538,0.12682215743440234,0.11661807580174927,0.0029154518950437317,0.260932944606414,0.007288629737609329,0.013119533527696793,0.0,0.01749271137026239,0.0058309037900874635,0.011661807580174927,0.225,0.318,0.421,0.74,0.263,26.1,11.7
28,30,Will Smith,LAD,132,374.2794918330309,436.0,78.33756805807624,0.21597096188747736,0.7575757575757575,0.22222222222222215,0.020202020202020197,0.036297640653357534,0.13430127041742287,0.13430127041742287,0.10344827586206896,0.007259528130671507,0.18148820326678766,0.021778584392201834,0.01633393829401089,0.0,0.0036297640653357535,0.0,0.0036297640653357535,0.252,0.3411978221415608,0.4334038054968288,0.7746016276383896,0.2734806629834254,18.148820326678766,10.344827586206897,362,436,90,0.24541284403669725,0.7666666666666667,0.2222222222222222,0.011111111111111112,0.0389908256880734,0.14678899082568808,0.13990825688073394,0.14678899082568808,0.0022935779816513763,0.20412844036697247,0.011467889908256881,0.011467889908256881,0.0,0.0045871559633027525,0.006880733944954129,-0.0022935779816513763,0.296,0.404,0.497,0.901,0.345,20.4,14.7
29,31,Carlos Correa,MIN,115,512.0323232323233,584.0,117.97979797979798,0.2383838383838384,0.75,0.24000000000000002,0.01,0.036363636363636376,0.13131313131313133,0.1292929292929293,0.10707070707070707,0.006060606060606061,0.19191919191919193,0.00808080808080808,0.00808080808080808,0.0,0.0,0.0,0.0,0.272,0.3535353535353535,0.456221198156682,0.8097565516920355,0.3076923076923077,19.19191919191919,10.707070707070706,537,584,135,0.2534246575342466,0.7851851851851852,0.21481481481481482,0.0,0.02226027397260274,0.10787671232876712,0.08904109589041095,0.07705479452054795,0.0,0.1934931506849315,0.0017123287671232876,0.0017123287671232876,0.0,0.0,0.0,0.0,0.276,0.332,0.402,0.734,0.328,19.3,7.7
30,32,Dansby Swanson,CHC,146,580.8208955,644.9999999999999,123.00995024875623,0.22056384742951912,0.7565217391098078,0.2260869565217391,0.017391304347826084,0.02985074626865672,0.1293532338308458,0.11608623548922056,0.08955223880597016,0.001658374792703151,0.24378109452736318,0.0049751243781094535,0.0049751243781094535,0.0,0.021558872305140964,0.0049751243781094535,0.01658374792703151,0.245,0.3150912106135987,0.3996316758747698,0.7147228864883685,0.3018372703412073,24.37810945273632,8.955223880597014,590,645,120,0.22325581395348837,0.775,0.2,0.025,0.037209302325581395,0.13023255813953488,0.11937984496124031,0.07286821705426356,0.0015503875968992248,0.26046511627906976,0.0031007751937984496,0.007751937984496124,0.0015503875968992248,0.031007751937984496,0.004651162790697674,0.02635658914728682,0.244,0.3,0.417,0.717,0.298,26.0,7.3
