#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
133,Jakob Marsee,MIA,148,548,642,126,80,25,6,15,79,73,74,0,131,8,3,9,37,13,24,0.23,0.329,0.38,0.708,0.274,20.40%,11.50%
134,Austin Wells,NYY,117,400,449,90,52,19,1,18,48,64,38,0,109,5,6,0,5,1,4,0.225,0.296,0.413,0.709,0.258,24.30%,8.50%
135,Esteury Ruiz,MIA,124,432,494,107,70,22,4,11,71,60,42,0,108,14,2,4,46,10,36,0.248,0.333,0.394,0.726,0.305,21.90%,8.50%
136,Teoscar Hernandez,LAD,136,518,563,138,82,27,1,28,71,92,35,1,149,6,4,0,6,2,4,0.266,0.318,0.485,0.802,0.319,26.50%,6.20%
137,Brandon Nimmo,TEX,142,540,614,132,88,25,2,17,75,66,59,1,134,10,4,1,9,1,8,0.244,0.328,0.393,0.72,0.293,21.80%,9.60%
138,Davis Schneider,TOR,123,378,444,84,47,17,2,18,56,58,58,0,126,5,3,0,6,1,5,0.222,0.331,0.421,0.752,0.278,28.40%,13.10%
139,Jacob Wilson,ATH,122,464,501,134,95,28,1,10,62,69,26,1,37,7,2,2,4,2,2,0.289,0.335,0.418,0.753,0.296,7.40%,5.20%
140,Lars Nootbaar,STL,135,465,539,114,72,24,2,16,68,54,66,2,108,3,4,1,5,3,2,0.245,0.34,0.409,0.749,0.284,20.00%,12.20%
141,Brendan Donovan,SEA,130,473,534,129,91,26,1,11,63,54,47,2,70,10,3,1,3,3,0,0.273,0.349,0.402,0.751,0.299,13.10%,8.80%
142,Harry Ford,WSN,113,440,507,103,73,19,1,10,62,55,55,0,111,10,2,0,9,5,4,0.234,0.331,0.35,0.681,0.29,21.90%,10.80%
143,Otto Lopez,MIA,132,486,530,127,92,21,4,10,61,58,37,1,79,3,3,1,13,5,8,0.261,0.316,0.383,0.698,0.293,14.90%,7.00%
144,Jorge Polanco,NYM,118,419,473,106,67,18,0,21,56,69,45,1,93,3,4,2,4,2,2,0.253,0.327,0.446,0.773,0.275,19.70%,9.50%
145,Ryan McMahon,NYY,145,499,571,105,65,20,1,19,61,65,65,2,180,4,3,0,3,3,0,0.21,0.305,0.369,0.673,0.284,31.50%,11.40%
146,Kaelen Culpepper,MIN,112,465,510,115,84,15,3,13,62,61,34,0,105,11,0,0,12,3,9,0.247,0.314,0.376,0.69,0.294,20.60%,6.70%
147,Jake Meyers,HOU,118,365,407,91,65,16,2,8,48,37,33,0,85,5,2,2,10,3,7,0.249,0.319,0.37,0.688,0.303,20.90%,8.10%
148,Bo Naylor,CLE,123,380,434,82,46,19,1,16,53,52,47,1,103,2,3,2,3,2,1,0.216,0.303,0.397,0.701,0.25,23.70%,10.80%
149,Randy Arozarena,SEA,151,562,649,131,79,29,1,22,82,75,62,1,170,21,4,0,25,7,18,0.233,0.33,0.406,0.735,0.291,26.20%,9.60%
150,Addison Barger,TOR,133,467,517,114,65,27,1,21,65,75,44,2,120,4,2,0,4,2,2,0.244,0.313,0.441,0.754,0.284,23.20%,8.50%
151,Colson Montgomery,CHW,125,473,527,102,59,17,3,23,63,83,43,1,159,9,2,0,2,1,1,0.216,0.292,0.41,0.702,0.27,30.20%,8.20%
152,Trevor Story,BOS,132,505,543,129,83,28,0,18,68,75,29,2,148,5,3,1,20,1,19,0.255,0.301,0.418,0.719,0.325,27.30%,5.30%
153,Ryan Ward,LAD,134,539,591,126,71,23,4,28,81,88,47,2,148,3,2,0,8,3,5,0.234,0.298,0.447,0.745,0.268,25.00%,8.00%
154,Jacob Reimer,NYM,123,461,518,108,63,27,3,15,74,70,41,2,123,13,3,0,6,2,4,0.234,0.313,0.403,0.716,0.285,23.70%,7.90%
155,Agustin Ramirez,MIA,149,577,635,137,82,32,1,22,82,79,47,2,127,7,4,0,16,3,13,0.237,0.301,0.411,0.712,0.266,20.00%,7.40%
156,Jung Hoo Lee,SFG,129,497,547,134,94,25,6,9,62,56,42,1,55,5,2,1,7,4,3,0.27,0.332,0.398,0.73,0.287,10.10%,7.70%
157,Spencer Horwitz,PIT,128,456,521,125,81,32,1,11,64,57,56,1,93,6,3,0,2,1,1,0.274,0.359,0.421,0.78,0.321,17.90%,10.70%
158,Tommy Edman,LAD,105,379,414,95,62,18,2,13,56,50,27,0,73,4,3,1,10,1,9,0.251,0.305,0.412,0.717,0.277,17.60%,6.50%
159,Ryan Ritter,COL,117,421,477,109,71,22,4,12,63,59,37,0,126,11,2,6,7,2,5,0.259,0.333,0.416,0.749,0.34,26.40%,7.80%
160,Shay Whitcomb,HOU,126,469,515,108,67,19,1,21,65,70,36,1,159,7,3,0,12,3,9,0.23,0.293,0.409,0.703,0.298,30.90%,7.00%
161,Zack Gelof,ATH,113,423,474,99,59,22,1,17,62,62,43,0,152,3,3,2,15,3,12,0.234,0.307,0.411,0.719,0.319,32.10%,9.10%
162,Ryan Jeffers,MIN,114,375,428,92,59,20,1,12,47,47,41,1,86,9,2,1,2,1,1,0.245,0.333,0.4,0.733,0.287,20.10%,9.60%
163,Alex Call,LAD,113,321,384,78,50,16,1,11,49,48,49,0,69,7,3,4,6,3,3,0.243,0.353,0.402,0.755,0.275,18.00%,12.80%
164,Luis Campusano,SDP,112,392,441,97,67,16,1,13,55,54,44,0,88,3,2,0,1,0,1,0.247,0.327,0.393,0.719,0.287,20.00%,10.00%
165,Jimmy Crooks,STL,110,415,455,100,69,19,2,10,50,49,31,0,124,5,3,1,1,0,1,0.241,0.3,0.369,0.668,0.317,27.30%,6.80%
166,Max Anderson,DET,117,495,531,126,82,26,2,16,69,73,26,3,92,6,4,0,2,2,0,0.255,0.298,0.412,0.71,0.281,17.30%,4.90%
167,Kerry Carpenter,DET,126,428,466,112,65,20,3,24,60,81,30,2,110,6,2,0,2,2,0,0.262,0.318,0.491,0.808,0.297,23.60%,6.40%
168,Harrison Bader,SFG,132,397,437,101,70,17,1,13,56,49,28,0,103,8,4,0,13,6,7,0.254,0.314,0.401,0.714,0.309,23.60%,6.40%
169,Mike Yastrzemski,ATL,128,401,467,91,49,22,4,16,60,49,57,2,109,4,3,2,4,2,2,0.227,0.327,0.421,0.748,0.269,23.30%,12.20%
170,Ronny Mauricio,NYM,116,429,460,104,70,18,1,15,54,53,27,3,117,3,1,0,13,4,9,0.242,0.291,0.394,0.685,0.299,25.40%,5.90%
171,Luis Arraez,SFG,151,601,648,187,149,29,3,6,72,64,32,2,25,4,4,7,8,3,5,0.311,0.348,0.399,0.747,0.315,3.90%,4.90%
172,Colt Emerson,SEA,127,515,580,115,78,24,4,9,63,62,48,2,127,12,5,0,9,4,5,0.223,0.302,0.338,0.64,0.276,21.90%,8.30%
173,Parker Meadows,DET,117,431,485,101,64,18,6,13,62,58,45,1,118,3,4,2,13,3,10,0.234,0.308,0.394,0.703,0.289,24.30%,9.30%
174,Luke Keaschall,MIN,87,322,373,85,59,18,1,7,49,44,37,0,62,10,4,0,17,4,13,0.264,0.354,0.391,0.745,0.304,16.60%,9.90%
175,Jose Altuve,HOU,133,513,571,136,93,24,1,18,75,65,49,3,100,6,3,0,11,4,7,0.265,0.335,0.421,0.756,0.296,17.50%,8.60%
176,Ha-Seong Kim,ATL,111,385,441,94,68,16,1,9,51,44,46,1,77,4,4,2,17,4,13,0.244,0.328,0.361,0.689,0.281,17.50%,10.40%
