#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
21,Kyle Schwarber,PHI,149,578.6458658346334,692.0,85.28549141965681,0.1825273010920437,0.7088607594936707,0.2784810126582278,0.012658227848101262,0.05928237129485179,0.1450858034682081,0.1497659906396256,0.15132605304212168,0.0062402496099844,0.29329173166926675,0.0093603744149766,0.0031201248049922,0.0,0.0031201248049922,0.0015600624024961,0.0015600624024961,0.218,0.343213729,0.475746269,0.818959997,0.253205128,29.32917317,15.1326053,573,692,104,0.20520231213872833,0.7884615384615384,0.21153846153846154,0.0,0.05491329479768786,0.15895953757225434,0.15028901734104047,0.1531791907514451,0.005780346820809248,0.2846820809248555,0.0072254335260115606,0.011560693641618497,0.0,0.0072254335260115606,0.004335260115606936,0.002890173410404624,0.248,0.366,0.485,0.851,0.301,28.5,15.3,,,,,,,,,
22,Gunnar Henderson,BAL,152,630.2484375,719.0,134.81250000000003,0.22812500000000002,0.7166666666666665,0.22499999999999998,0.05833333333333333,0.040625,0.16093749999999998,0.14531249999999998,0.10625000000000001,0.0015625,0.246875,0.009375000000000001,0.0078125,0.0,0.01875,0.00625,0.0125,0.26,0.34375,0.472370766,0.816120766,0.314136126,24.6875,10.625,630,719,140,0.24617524339360222,0.7285714285714285,0.22142857142857142,0.05,0.05146036161335188,0.16411682892906815,0.12795549374130738,0.10848400556328233,0.0013908205841446453,0.2211404728789986,0.009735744089012517,0.005563282336578581,0.0,0.02920723226703755,0.005563282336578581,0.02364394993045897,0.281,0.364,0.529,0.893,0.32,22.1,10.8,,,,,,,,,
23,Corbin Carroll,ARI,148,597.9622641509434,684.0,140.88679245283018,0.23742138364779874,0.7251908396946566,0.2061068702357038,0.06870229007633588,0.031446540880503145,0.15408805031446537,0.13679245283018865,0.09433962264150943,0.003144654088050314,0.21540880503144655,0.02044025157894737,0.0047169811320754715,0.006289308175438597,0.06132075471698113,0.007861635220125786,0.05345911949685535,0.272,0.35443038,0.460431655,0.814862034,0.325870647,21.5408805,9.433962264,589,684,114,0.19883040935672514,0.6842105263157895,0.19298245614035087,0.12280701754385964,0.03216374269005848,0.17690058479532164,0.10818713450292397,0.1067251461988304,0.0,0.19005847953216373,0.014619883040935672,0.013157894736842105,0.0043859649122807015,0.05116959064327485,0.011695906432748537,0.039473684210526314,0.231,0.322,0.428,0.749,0.256,19.0,10.7,,,,,,,,,
24,Ozzie Albies,ATL,145,396.01415094339626,435.0,90.28301886792454,0.24842767295597487,0.7196969696969697,0.24999999999999997,0.0303030303030303,0.04088050314465409,0.14622641509433962,0.15251572327044027,0.07075471698113206,0.0031446540880503146,0.16666666666666666,0.007861635220125786,0.011006289308176102,0.0,0.018867924528735633,0.006289308176100629,0.012578616352201259,0.273,0.327044025,0.478411054,0.805455079,0.290748899,16.66666667,7.075471698,399,435,90,0.22988505747126436,0.6666666666666666,0.32222222222222224,0.011111111111111112,0.022988505747126436,0.11954022988505747,0.12183908045977011,0.06206896551724138,0.0,0.14942528735632185,0.011494252873563218,0.009195402298850575,0.0,0.01839080459770115,0.0022988505747126436,0.016091954022988506,0.251,0.303,0.404,0.707,0.274,14.9,6.2,,,,,,,,,
25,Dansby Swanson,CHC,149,530.2338072669826,593.0,114.29067930489732,0.2274881516587678,0.7540983606557377,0.22950819672131145,0.016393442622950817,0.034755134281200625,0.13428120063191154,0.1216429699831366,0.09162717219589256,0.001579778830963665,0.24170616113744076,0.007898894154818325,0.00631911532385466,0.0,0.014218009478672987,0.004739336492411467,0.009478672986509274,0.254,0.327014218,0.427561837,0.754576055,0.308860759,24.17061611,9.16271722,534,593,113,0.2175379426644182,0.7433628318584071,0.23893805309734514,0.017699115044247787,0.026981450252951095,0.13827993254637436,0.11129848229342328,0.09106239460370995,0.003372681281618887,0.24283305227655985,0.003372681281618887,0.00505902192242833,0.0,0.03204047217537943,0.00505902192242833,0.026981450252951095,0.242,0.312,0.39,0.701,0.3,24.3,9.1,,,,,,,,,
26,Ty France,SEA,151,474.9921011058452,535.0,113.25434439178515,0.2353870458135861,0.7686567164179104,0.22388059701492535,0.007462686567164179,0.023696682464454975,0.1169036334953271,0.11058451816745654,0.0631911532385466,0.001579778830963665,0.16903633491588785,0.04265402843601896,0.006319115323854662,0.0,0.001579778830963665,0.001579778830963665,0.0,0.265,0.341232227,0.402135231,0.743367459,0.301801802,16.90363349,6.319115324,479,535,99,0.20934579439252338,0.7575757575757576,0.24242424242424243,0.0,0.024299065420560748,0.08598130841121496,0.09532710280373832,0.07102803738317758,0.0,0.2130841121495327,0.024299065420560748,0.009345794392523364,0.0,0.001869158878504673,0.001869158878504673,0.0,0.234,0.305,0.365,0.67,0.277,21.3,7.1,,,,,,,,,
27,J.P. Crawford,SEA,147,389.62974683544303,451.0,90.62816455696203,0.2199367088607595,0.7559055118110236,0.23622047244094482,0.007874015748031496,0.0189873417721519,0.12658227848101267,0.09810126582278482,0.11708860759493672,0.0015822784810126582,0.17246835443037975,0.00949367088607595,0.0063291139240506345,0.0031645569620253164,0.004746835443037975,0.0031645569620253164,0.0015822784810126582,0.255,0.347619048,0.379120879,0.726739927,0.296037296,17.24683544,11.70886076,392,451,70,0.17516629711751663,0.7428571428571429,0.22857142857142856,0.02857142857142857,0.019955654101995565,0.12195121951219512,0.082039911308204,0.11529933481152993,0.0,0.2261640798226164,0.013303769401330377,0.0022172949002217295,0.0,0.011086474501108648,0.0,0.011086474501108648,0.202,0.304,0.321,0.625,0.248,22.6,11.5,,,,,,,,,
28,Gleyber Torres,NYY,152,592.0508744038156,664.9999999999999,135.32591414944352,0.24165341812400637,0.7734375000000001,0.21875000000000006,0.0078125,0.03815580286168522,0.12559618441971385,0.12559618441971385,0.09538950715421304,0.0015898251192368838,0.17170111293233084,0.004769475357710652,0.00794912559618442,0.0015898251192368838,0.017488076311605722,0.00794912559618442,0.009538950715421305,0.271,0.342356688,0.453571429,0.795928116,0.295612009,17.17011129,9.538950715,587,665,136,0.22706766917293233,0.8088235294117647,0.19117647058823528,0.0,0.022556390977443608,0.12030075187969924,0.09473684210526316,0.09774436090225563,0.0,0.20451127819548873,0.004511278195488722,0.012030075187969926,0.0030075187969924814,0.006015037593984963,0.004511278195488722,0.0015037593984962407,0.257,0.33,0.378,0.709,0.306,20.5,9.8,,,,,,,,,
30,Randy Arozarena,TBR,149,562.3566878980891,648.0,125.88535031847134,0.22929936305732485,0.7295081966858936,0.2459016393442623,0.024590163934426226,0.03503184713375796,0.14012738853503184,0.1321656050955414,0.10031847133757961,0.003184713375796179,0.24203821656050953,0.025477707006369428,0.006369426751592357,0.0,0.03343949044753086,0.01592356687898089,0.01751592356687898,0.264,0.355095541,0.451376147,0.806471688,0.325333333,24.20382166,10.03184713,549,648,100,0.18518518518518517,0.67,0.33,0.0,0.030864197530864196,0.11882716049382716,0.09259259259259259,0.11265432098765432,0.0,0.26080246913580246,0.033950617283950615,0.006172839506172839,0.0,0.030864197530864196,0.015432098765432098,0.015432098765432098,0.219,0.332,0.388,0.72,0.275,26.1,11.3,,,,,,,,,
31,Kyle Tucker,HOU,152,297.84345047923324,339.0,66.60862619520766,0.24121405750798722,0.6829268292771488,0.28455284554073906,0.03252032520465589,0.04472843451327434,0.1389776357827476,0.16293929712460065,0.10862619808306709,0.009584664536741214,0.15175718849840256,0.003194888178913738,0.009584664536741214,0.0,0.036741214057507986,0.006389776357827476,0.030351437699680506,0.275,0.353035144,0.505454545,0.858489689,0.284064665,15.17571885,10.86261981,277,339,57,0.2359882005899705,0.7719298245614035,0.22807017543859648,0.0,0.06784660766961652,0.16519174041297935,0.14454277286135694,0.16519174041297935,0.008849557522123894,0.1592920353982301,0.0029498525073746312,0.0058997050147492625,0.0,0.032448377581120944,0.0,0.032448377581120944,0.289,0.408,0.585,0.993,0.282,15.9,16.5,,,,,,,,,
