#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
284,Enyel De Los Santos,HOU,3,3,4.27,60,0,0,12,,60.0,257,57,30,28,9,23,2,3,59,8.80,3.45,1.33,22.8%,8.9%
285,Craig Yoho,MIL,2,2,3.96,42,0,0,1,,42.0,181,38,20,18,5,19,1,2,42,9.04,4.07,1.36,23.3%,10.5%
286,Seth Halvorsen,COL,3,3,4.78,60,0,3,11,,60.0,265,63,34,32,8,28,2,2,53,8.02,4.14,1.50,20.2%,10.4%
287,Mason Black,KCR,2,3,4.82,27,3,0,1,,42.0,185,44,24,23,6,17,1,2,34,7.23,3.54,1.43,18.3%,8.9%
288,Angel Bastardo,TOR,1,1,3.95,20,0,0,1,,20.0,86,18,9,9,2,8,1,1,20,8.81,3.57,1.32,22.8%,9.2%
289,Ryan Watson,BOS,2,3,4.34,52,0,0,7,,52.0,225,53,27,25,7,19,1,2,44,7.53,3.31,1.39,19.4%,8.5%
290,Tyler Alexander,TEX,3,4,4.51,62,2,0,11,,68.2,295,72,37,34,11,19,2,2,56,7.34,2.47,1.32,19.0%,6.4%
291,Grant Anderson,MIL,3,3,4.13,56,0,0,10,,56.0,240,52,28,26,8,22,2,2,55,8.80,3.55,1.32,22.8%,9.2%
292,Tommy Kahnle,,2,2,4.19,48,0,0,0,,48.0,210,46,24,22,6,22,1,2,44,8.25,4.18,1.43,20.9%,10.6%
293,Beau Brieske,DET,2,3,4.29,50,0,0,4,,50.0,217,48,26,24,7,20,1,2,45,8.16,3.67,1.37,20.9%,9.4%
294,Steven Cruz,KCR,2,2,4.30,45,0,0,1,,45.0,195,43,23,21,6,20,1,2,42,8.43,3.91,1.40,21.6%,10.0%
295,Mitch Spence,KCR,1,1,4.14,16,0,0,1,,16.0,68,17,8,7,2,4,0,1,13,7.39,2.38,1.31,19.3%,6.2%
296,Danny Young,ATL,1,1,3.78,20,0,0,1,,20.0,87,19,9,8,2,9,1,1,20,9.22,3.96,1.37,23.7%,10.2%
297,Paxton Schultz,WSN,2,2,4.29,46,0,0,1,,46.0,198,44,23,22,7,17,1,2,42,8.15,3.31,1.33,21.1%,8.5%
298,Ryan Borucki,CHW,1,1,3.90,18,0,0,1,,18.0,77,17,8,8,2,7,0,1,17,8.66,3.69,1.34,22.4%,9.5%
299,Drew Sommers,DET,1,1,3.72,21,0,0,1,,21.0,90,21,10,9,2,8,1,1,17,7.48,3.54,1.37,19.3%,9.1%
300,Jack Kochanowicz,LAA,1,1,4.48,18,2,0,1,,24.2,109,27,13,12,3,9,1,2,17,6.06,3.13,1.45,15.3%,7.9%
301,Carlos Hernandez,CLE,1,1,4.13,18,0,0,1,,18.0,77,16,9,8,2,8,1,1,18,9.15,3.81,1.33,23.7%,9.8%
302,Evan Reifert,TBR,1,1,3.81,12,0,0,1,,12.0,52,10,6,5,1,6,0,1,13,9.87,4.33,1.34,25.5%,11.2%
303,Connor Brogdon,CLE,2,3,4.26,52,0,0,7,,52.0,223,49,26,25,8,20,1,2,50,8.73,3.43,1.32,22.6%,8.9%
304,Bobby Miller,LAD,1,1,4.09,26,0,0,1,,26.0,111,24,13,12,3,11,1,1,26,8.90,3.66,1.34,23.1%,9.5%
305,Jose Fermin,LAA,2,3,4.37,52,0,0,6,,52.0,226,47,27,25,7,26,1,2,54,9.41,4.42,1.40,24.0%,11.3%
