#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
143,Ryan Weathers,NYY,7,7,4.48,41,19,0,1,,116.0,498,108,63,58,14,45,,4,103,7.95,3.47,1.31,20.6%,9.0%,
144,Kumar Rocker,TEX,5,7,4.21,42,16,0,1,,99.0,426,96,50,46,12,30,,4,90,8.17,2.72,1.28,21.0%,7.0%,
145,Lucas Giolito,,6,7,4.65,24,24,0,0,,124.0,536,123,69,64,19,48,,4,111,8.06,3.47,1.38,20.6%,8.9%,
146,Jacob Latz,TEX,3,3,4.46,51,11,0,1,,119.0,511,105,63,59,15,57,,3,115,8.70,4.35,1.36,22.5%,11.2%,
147,Grant Holmes,ATL,8,6,4.16,35,19,0,1,,133.0,577,129,67,62,17,52,,8,123,8.31,3.51,1.36,21.3%,9.0%,
148,Michael Lorenzen,COL,6,10,4.86,26,26,0,0,,137.0,593,143,80,74,23,49,,5,106,6.98,3.24,1.40,17.9%,8.3%,
149,Tatsuya Imai,HOU,0,0,4.64,26,26,0,0,,104.0,448,100,57,54,16,38,,4,100,8.66,3.32,1.34,22.2%,8.5%,
150,Johan Oviedo,BOS,7,6,4.28,55,15,0,1,,109.0,468,98,56,52,14,46,,8,105,8.66,3.82,1.32,22.4%,9.9%,
151,Robert Gasser,MIL,5,4,3.99,37,11,0,1,,80.0,341,74,38,35,10,25,,7,76,8.54,2.85,1.24,22.3%,7.4%,
152,Alek Manoah,LAA,5,7,4.66,19,19,0,0,,99.0,431,94,56,51,13,40,,9,83,7.55,3.62,1.34,19.4%,9.3%,
153,Janson Junk,MIA,5,5,4.36,48,10,0,1,,94.0,398,99,50,46,12,19,,3,68,6.51,1.85,1.26,17.1%,4.9%,
154,Lance McCullers Jr.,HOU,6,5,4.41,33,19,0,1,,102.0,454,94,55,50,12,53,,8,101,8.96,4.69,1.44,22.3%,11.7%,
155,Mick Abel,MIN,6,7,4.46,40,18,0,1,,108.0,477,104,58,54,13,49,,5,99,8.23,4.08,1.42,20.7%,10.3%,
156,Ian Seymour,TBR,6,6,4.32,41,11,0,1,,96.0,403,88,50,46,14,28,,6,92,8.57,2.61,1.21,22.7%,6.9%,
