#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
153,Andrew Painter,PHI,6,4,4.47,31,18,0,1,,103.0,449,101,56,51,15,38,,5,90,7.87,3.31,1.35,20.1%,8.5%,9
154,Eduardo Rodriguez,ARI,7,6,4.67,31,23,0,1,,130.0,562,131,74,68,19,48,,6,111,7.68,3.30,1.38,19.8%,8.5%,11
155,Kyle Harrison,MIL,5,3,3.95,31,15,0,1,,87.0,376,76,42,38,13,34,,4,92,9.52,3.52,1.27,24.5%,9.0%,8
156,Lucas Giolito,,8,10,5.01,24,24,0,0,,131.0,568,134,80,73,20,53,,6,111,7.59,3.61,1.43,19.4%,9.2%,10
157,Griffin Canning,SDP,6,4,4.41,30,18,0,1,,105.0,451,101,56,51,14,40,,5,90,7.68,3.43,1.34,19.9%,8.9%,9
158,Robert Gasser,MIL,5,2,3.89,37,11,0,1,,86.0,368,79,41,37,12,27,,4,83,8.73,2.81,1.23,22.6%,7.3%,7
159,Jacob Latz,TEX,7,2,4.13,51,11,0,1,,113.0,491,99,57,52,15,54,,6,113,9.01,4.30,1.35,23.1%,11.0%,7
160,Rhett Lowder,CIN,5,2,4.52,35,13,0,1,,90.0,390,91,50,45,12,32,,4,73,7.32,3.14,1.36,18.8%,8.1%,7
161,Logan Allen,CLE,6,6,4.67,29,21,0,1,,121.0,530,124,69,63,17,46,,6,95,7.06,3.42,1.40,17.9%,8.7%,10
162,Ryan Weiss,HOU,6,6,4.24,44,10,0,1,,100.0,432,94,51,47,14,37,,7,99,8.92,3.36,1.32,23.0%,8.7%,6
163,Lance McCullers Jr.,HOU,6,4,4.50,33,19,0,1,,111.0,491,105,61,56,15,55,,6,105,8.51,4.42,1.43,21.4%,11.1%,9
164,Michael Soroka,ARI,6,3,4.10,52,11,2,1,,100.0,423,93,50,46,13,37,,4,98,8.81,3.30,1.29,23.1%,8.7%,7
165,Jose Quintana,COL,6,11,5.79,26,26,0,0,,144.0,635,168,101,92,23,55,,7,94,5.86,3.48,1.56,14.7%,8.7%,9
166,David Festa,MIN,4,2,4.05,28,10,0,1,,66.0,280,61,32,30,9,23,,3,68,9.26,3.22,1.28,24.1%,8.4%,6
167,Tomoyuki Sugano,COL,5,9,5.70,21,21,0,0,,116.0,508,139,80,74,20,33,,5,75,5.81,2.59,1.48,14.8%,6.6%,8
168,Patrick Corbin,,6,7,4.75,19,19,0,0,,103.0,453,108,59,54,16,36,,5,81,7.06,3.10,1.39,17.9%,7.8%,9
169,Hunter Barco,PIT,5,2,4.10,41,11,0,1,,85.0,370,80,42,39,10,37,,4,81,8.55,3.92,1.37,21.8%,10.0%,6
170,Patrick Sandoval,BOS,5,2,4.30,40,10,0,1,,81.0,351,80,42,38,9,33,,4,72,8.05,3.71,1.41,20.5%,9.5%,6
171,Hurston Waldrep,ATL,5,5,4.30,13,13,0,0,,70.0,305,67,36,33,8,32,,3,63,8.18,4.12,1.42,20.8%,10.5%,6
172,Janson Junk,MIA,5,2,4.39,48,10,0,1,,91.0,389,96,49,45,12,21,,4,68,6.64,2.10,1.28,17.4%,5.5%,6
173,Corbin Burnes,ARI,3,2,3.80,6,6,0,0,,42.0,175,39,19,18,4,14,,2,40,8.55,2.97,1.25,22.9%,8.0%,4
174,Cristian Javier,HOU,8,11,4.90,28,28,0,0,,146.0,625,136,87,79,24,63,,7,127,7.82,3.91,1.37,20.3%,10.1%,12
175,Spencer Arrighetti,HOU,5,2,4.38,29,13,0,1,,86.0,372,79,46,42,13,37,,4,84,8.78,3.89,1.35,22.5%,10.0%,7
