#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
35,Blake Snell,LAD,10,6,3.82,22,22,0,0,,130.0,545,107,59,55,15,53,0,3,155,10.72,3.65,1.23,28.4%,9.7%,10
36,Michael King,SDP,10,9,4.01,27,27,0,0,,154.2,652,139,74,69,20,54,1,7,154,8.97,3.12,1.24,23.6%,8.2%,11
37,Kris Bubic,KCR,8,9,3.88,29,23,0,1,,134.2,567,124,62,58,14,44,1,5,132,8.85,2.94,1.25,23.3%,7.7%,6
38,Drew Rasmussen,TBR,9,10,3.95,29,29,0,0,,153.2,638,143,72,67,19,40,1,5,133,7.77,2.36,1.19,20.8%,6.3%,10
39,Sandy Alcantara,MIA,10,11,4.14,28,28,0,0,,176.1,741,168,87,81,20,52,1,7,137,6.99,2.66,1.25,18.5%,7.0%,15
40,Nick Pivetta,SDP,11,10,4.13,28,28,0,0,,169.0,702,149,83,78,28,49,1,5,176,9.39,2.63,1.17,25.1%,7.0%,14
41,Mitch Keller,PIT,10,11,4.72,30,30,0,0,,177.1,765,183,99,93,23,54,0,9,152,7.73,2.75,1.34,19.9%,7.1%,14
42,Kyle Bradish,BAL,9,8,3.76,24,24,0,0,,134.0,560,116,60,56,16,46,0,6,142,9.56,3.06,1.20,25.4%,8.1%,9
43,Shohei Ohtani,LAD,9,5,3.47,21,21,0,0,,110.0,455,88,45,42,13,39,0,5,131,10.72,3.20,1.15,28.8%,8.6%,7
44,Quinn Priester,MIL,10,10,4.07,28,28,0,0,,166.1,699,159,80,75,20,48,0,7,131,7.11,2.58,1.24,18.8%,6.8%,13
45,Emmet Sheehan,LAD,9,7,3.81,34,23,0,1,,133.1,554,108,60,57,19,47,1,6,156,10.52,3.18,1.16,28.2%,8.5%,3
46,Aaron Nola,PHI,10,9,4.31,28,28,0,0,,168.0,706,159,86,80,26,49,0,5,162,8.69,2.61,1.23,23.0%,6.9%,13
47,Nolan McLean,NYM,10,8,3.92,26,26,0,0,,152.1,642,137,71,66,17,54,0,8,142,8.37,3.19,1.25,22.1%,8.4%,12
