#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,HIP,1B%,2B%,3B%,HR%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%
289,Jeimer Candelario,CIN,120,449,496,107,66,23,2,16,56,60,37,1,116,6,3,0,5,2,3,0.239,0.303030303,0.405345212,0.708375515,0.284375,23.38709677,7.459677419,91,0.7252747252747253,0.25274725274725274,0.02197802197802198,0.03225806451612903,0.11290322580645161,0.12096774193548387,0.0020161290322580645,0.012096774193548387,0.006048387096774193,0.0,0.010080645161290322,0.004032258064516129
68,Matt McLain,CIN,126,482,540,123,74,25,2,21,73,69,46,1,146,8,3,1,18,5,13,0.256,0.3283859,0.443983402,0.772369302,0.320754717,27.03703704,8.518518519,102,0.7254901960784313,0.24509803921568626,0.0196078431372549,0.03888888888888889,0.13518518518518519,0.12777777777777777,0.001851851851851852,0.014814814814814815,0.005555555555555556,0.001851851851851852,0.03333333333333333,0.009259259259259259
365,Noelvi Marte,CIN,53,191,207,47,31,9,1,6,24,23,12,0,52,2,1,0,6,2,4,0.244,0.296116505,0.397905759,0.694022264,0.305970149,25.12077295,5.797101449,41,0.7560975609756098,0.21951219512195122,0.024390243902439025,0.028985507246376812,0.11594202898550725,0.1111111111111111,0.0,0.00966183574879227,0.004830917874396135,0.0,0.028985507246376812,0.00966183574879227
171,Spencer Steer,CIN,141,521,591,128,78,28,2,19,73,70,56,0,120,9,5,0,13,4,9,0.245,0.326565144,0.414587332,0.741152476,0.281653747,20.30456853,9.475465313,109,0.7155963302752294,0.25688073394495414,0.01834862385321101,0.032148900169204735,0.12351945854483926,0.11844331641285956,0.0,0.015228426395939087,0.008460236886632826,0.0,0.021996615905245348,0.00676818950930626
313,TJ Friedl,CIN,120,445,504,104,72,17,3,12,58,47,40,1,84,10,4,5,16,4,12,0.234,0.308617234,0.366292135,0.674909369,0.260623229,16.66666667,7.936507937,92,0.782608695652174,0.18478260869565216,0.03260869565217391,0.023809523809523808,0.11507936507936507,0.09325396825396826,0.001984126984126984,0.01984126984126984,0.007936507936507936,0.00992063492063492,0.031746031746031744,0.007936507936507936
84,Tyler Stephenson,CIN,119,418,469,108,70,20,1,17,55,62,40,1,112,7,4,0,1,0,1,0.258,0.330490405,0.433014354,0.763504759,0.310580205,23.88059701,8.528784648,91,0.7692307692307693,0.21978021978021978,0.01098901098901099,0.03624733475479744,0.11727078891257996,0.13219616204690832,0.0021321961620469083,0.014925373134328358,0.008528784648187633,0.0,0.0021321961620469083,0.0
54,Bo Naylor,CLE,109,352,395,74,45,15,1,13,42,45,36,1,111,3,2,1,6,2,4,0.209,0.287531807,0.369318182,0.656849988,0.265217391,28.10126582,9.113924051,61,0.7377049180327869,0.2459016393442623,0.01639344262295082,0.03291139240506329,0.10632911392405063,0.11392405063291139,0.002531645569620253,0.007594936708860759,0.005063291139240506,0.002531645569620253,0.015189873417721518,0.005063291139240506
403,David Fry,CLE,55,176,197,42,27,9,0,6,21,23,16,0,43,3,2,0,1,1,0,0.24,0.30964467,0.392045455,0.701690125,0.279069767,21.82741117,8.121827411,36,0.75,0.25,0.0,0.030456852791878174,0.1065989847715736,0.116751269035533,0.0,0.015228426395939087,0.01015228426395939,0.0,0.005076142131979695,0.005076142131979695
10,Jose Ramirez,CLE,153,592,662,160,94,34,4,28,94,89,59,10,76,4,6,1,31,9,22,0.27,0.337367625,0.483108108,0.820475733,0.267206478,11.48036254,8.912386707,132,0.7121212121212122,0.25757575757575757,0.030303030303030304,0.04229607250755287,0.1419939577039275,0.13444108761329304,0.015105740181268883,0.006042296072507553,0.00906344410876133,0.0015105740181268882,0.04682779456193353,0.013595166163141994
317,Kyle Manzardo,CLE,113,397,445,93,55,21,1,16,48,58,39,2,97,4,4,0,1,0,1,0.233,0.306306306,0.413098237,0.719404543,0.267361111,21.79775281,8.764044944,77,0.7142857142857143,0.2727272727272727,0.012987012987012988,0.035955056179775284,0.10786516853932585,0.1303370786516854,0.0044943820224719105,0.008988764044943821,0.008988764044943821,0.0,0.0022471910112359553,0.0
146,Lane Thomas,CLE,134,511,567,124,78,27,3,16,73,59,44,0,140,7,4,0,23,7,16,0.242,0.309187279,0.401174168,0.710361447,0.300835655,24.69135802,7.760141093,108,0.7222222222222222,0.25,0.027777777777777776,0.02821869488536155,0.12874779541446207,0.10405643738977072,0.0,0.012345679012345678,0.007054673721340388,0.0,0.04056437389770723,0.012345679012345678
130,Steven Kwan,CLE,146,569,640,152,119,26,4,4,71,52,59,2,59,5,5,2,16,5,11,0.267,0.338557994,0.34973638,0.688294373,0.28962818,9.21875,9.21875,148,0.8040540540540541,0.17567567567567569,0.02702702702702703,0.00625,0.1109375,0.08125,0.003125,0.0078125,0.0078125,0.003125,0.025,0.0078125
117,Brenton Doyle,COL,143,544,596,138,87,26,5,21,80,65,40,1,172,5,4,3,26,6,20,0.253,0.308600337,0.4375,0.746100337,0.329577465,28.8590604,6.711409396,117,0.7435897435897436,0.2222222222222222,0.042735042735042736,0.03523489932885906,0.1342281879194631,0.10906040268456375,0.0016778523489932886,0.008389261744966443,0.006711409395973154,0.0050335570469798654,0.0436241610738255,0.010067114093959731
90,Ezequiel Tovar,COL,150,601,643,158,99,32,4,22,77,79,30,1,171,5,5,3,12,3,9,0.263,0.301092044,0.437603993,0.738696037,0.329297821,26.5940902,4.66562986,136,0.7279411764705882,0.23529411764705882,0.029411764705882353,0.03421461897356143,0.11975116640746501,0.12286158631415241,0.0015552099533437014,0.007776049766718507,0.007776049766718507,0.004665629860031105,0.01866251944012442,0.004665629860031105
404,Michael Toglia,COL,130,472,531,106,61,23,2,21,62,65,52,2,164,3,3,0,7,2,5,0.225,0.303773585,0.417372881,0.721146466,0.293103448,30.88512241,9.792843691,85,0.7176470588235294,0.27058823529411763,0.023529411764705882,0.03954802259887006,0.1167608286252354,0.1224105461393597,0.003766478342749529,0.005649717514124294,0.005649717514124294,0.0,0.013182674199623353,0.003766478342749529
308,Nolan Jones,COL,122,429,491,103,66,21,3,14,60,50,54,3,148,4,2,1,11,3,8,0.24,0.329243354,0.403263403,0.732506757,0.330855019,30.14256619,10.99796334,89,0.7415730337078652,0.23595505617977527,0.033707865168539325,0.028513238289205704,0.12219959266802444,0.10183299389002037,0.006109979633401222,0.008146639511201629,0.004073319755600814,0.002036659877800407,0.02240325865580448,0.006109979633401222
170,Ryan McMahon,COL,146,546,620,130,83,27,1,19,70,70,66,3,178,4,4,0,7,2,5,0.239,0.322580645,0.395604396,0.718185041,0.314447592,28.70967742,10.64516129,111,0.7477477477477478,0.24324324324324326,0.009009009009009009,0.03064516129032258,0.11290322580645161,0.11290322580645161,0.004838709677419355,0.0064516129032258064,0.0064516129032258064,0.0,0.01129032258064516,0.0032258064516129032
