Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,W%,L%,SV%,HLD%,BS%,H%,R%,ER%,HR%,IBB%,HBP%
Felix Bautista,BAL,0,56,57.1,232,4,3,0,27,4,4,39,19,17,5,1,2,83,24,13.04,3.73,2.7,1.1,35.77586207,10.34482759,0.071428571,0.053571429,0.482142857,0.071428571,0.071428571,0.168103448,0.081896552,0.073275862,0.021551724,0.004310345,0.00862069
Yennier Cano,BAL,0,62,60.1,253,3,3,0,3,20,3,55,25,23,5,1,2,60,21,8.96,3.17,3.41,1.26,23.71541502,8.300395257,0.048387097,0.048387097,0.048387097,0.322580645,0.048387097,0.217391304,0.098814229,0.090909091,0.019762846,0.003952569,0.007905138
Aroldis Chapman,BOS,0,63,60,257,5,4,0,12,14,4,43,25,23,5,1,3,88,36,13.15,5.42,3.39,1.33,34.24124514,14.0077821,0.079365079,0.063492063,0.19047619,0.222222222,0.063492063,0.167315175,0.097276265,0.089494163,0.019455253,0.003891051,0.011673152
Garrett Whitlock,BOS,1,45,56.2,234,3,3,0,4,7,1,53,26,24,7,0,2,57,14,9.01,2.17,3.74,1.18,24.35897436,5.982905983,0.066666667,0.066666667,0.088888889,0.155555556,0.022222222,0.226495726,0.111111111,0.102564103,0.02991453,0,0.008547009
Justin Slaten,BOS,0,60,66,278,4,3,0,6,17,4,60,31,28,8,1,3,70,23,9.47,3.11,3.83,1.26,25.17985612,8.273381295,0.066666667,0.05,0.1,0.283333333,0.066666667,0.215827338,0.111510791,0.100719424,0.028776978,0.003597122,0.010791367
Liam Hendriks,BOS,0,52,53.1,220,4,3,0,16,9,4,47,24,22,7,1,2,60,16,10.19,2.66,3.79,1.18,27.27272727,7.272727273,0.076923077,0.057692308,0.307692308,0.173076923,0.076923077,0.213636364,0.109090909,0.1,0.031818182,0.004545455,0.009090909
Luis Guerrero,BOS,0,28,31.1,136,2,1,0,0,4,1,29,16,14,4,0,1,32,15,9.2,4.31,4.13,1.39,23.52941176,11.02941176,0.071428571,0.035714286,0,0.142857143,0.035714286,0.213235294,0.117647059,0.102941176,0.029411765,0,0.007352941
Porter Hodge,CHC,0,59,64,272,4,3,0,10,15,4,52,28,26,6,1,3,72,30,10.1,4.26,3.6,1.28,26.47058824,11.02941176,0.06779661,0.050847458,0.169491525,0.254237288,0.06779661,0.191176471,0.102941176,0.095588235,0.022058824,0.003676471,0.011029412
Ryan Pressly,CHC,0,59,58.1,242,3,3,0,23,6,6,53,25,23,6,1,2,61,17,9.36,2.68,3.49,1.21,25.20661157,7.024793388,0.050847458,0.050847458,0.389830508,0.101694915,0.101694915,0.219008264,0.103305785,0.095041322,0.024793388,0.004132231,0.008264463
Alexis Diaz,CIN,0,63,63.2,275,4,4,0,24,5,4,54,33,30,8,2,5,68,32,9.59,4.51,4.27,1.35,24.72727273,11.63636364,0.063492063,0.063492063,0.380952381,0.079365079,0.063492063,0.196363636,0.12,0.109090909,0.029090909,0.007272727,0.018181818
Taylor Rogers,CIN,0,61,59.1,253,3,4,0,5,12,2,54,29,27,8,1,3,64,23,9.7,3.42,4.03,1.29,25.29644269,9.090909091,0.049180328,0.06557377,0.081967213,0.196721311,0.032786885,0.213438735,0.114624506,0.106719368,0.031620553,0.003952569,0.011857708
Cade Smith,CLE,0,66,67.2,275,4,2,0,1,21,2,53,25,23,5,1,3,88,22,11.64,2.9,3,1.1,32,8,0.060606061,0.03030303,0.015151515,0.318181818,0.03030303,0.192727273,0.090909091,0.083636364,0.018181818,0.003636364,0.010909091
Emmanuel Clase,CLE,0,67,67.2,268,4,3,0,37,3,5,57,22,20,4,1,2,65,13,8.61,1.72,2.65,1.03,24.25373134,4.850746269,0.059701493,0.044776119,0.552238806,0.044776119,0.074626866,0.212686567,0.082089552,0.074626866,0.014925373,0.003731343,0.007462687
Hunter Gaddis,CLE,1,58,63,259,4,3,0,1,20,3,56,29,27,9,1,4,57,17,8.18,2.43,3.82,1.15,22.00772201,6.563706564,0.068965517,0.051724138,0.017241379,0.344827586,0.051724138,0.216216216,0.111969112,0.104247104,0.034749035,0.003861004,0.015444015
Paul Sewald,CLE,0,54,54.1,225,3,3,0,4,11,4,46,26,24,8,1,3,60,17,10,2.87,3.95,1.17,26.66666667,7.555555556,0.055555556,0.055555556,0.074074074,0.203703704,0.074074074,0.204444444,0.115555556,0.106666667,0.035555556,0.004444444,0.013333333
Seth Halvorsen,COL,0,59,62,270,4,5,0,10,11,4,62,33,30,8,1,3,60,25,8.73,3.58,4.4,1.4,22.22222222,9.259259259,0.06779661,0.084745763,0.169491525,0.186440678,0.06779661,0.22962963,0.122222222,0.111111111,0.02962963,0.003703704,0.011111111
Jason Foley,DET,0,62,59.2,252,3,3,0,19,9,3,58,26,24,5,2,3,48,18,7.31,2.64,3.6,1.27,19.04761905,7.142857143,0.048387097,0.048387097,0.306451613,0.14516129,0.048387097,0.23015873,0.103174603,0.095238095,0.01984127,0.007936508,0.011904762
Tommy Kahnle,DET,0,49,49,207,1,2,0,2,13,1,42,21,19,5,1,2,50,21,9.25,3.86,3.51,1.28,24.15458937,10.14492754,0.020408163,0.040816327,0.040816327,0.265306122,0.020408163,0.202898551,0.101449275,0.09178744,0.024154589,0.004830918,0.009661836
