#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
384,Joel Kuhnel,ATH,0,0,4.39,1,0,0,0,,1.1,5,1,1,1,0,0,0,0,1,6.33,2.53,1.34,16.60%,6.60%
385,Brooks Kriske,ATH,0,0,4.05,1,0,0,0,,1.1,5,1,1,1,0,1,0,0,1,10.14,4.3,1.35,25.80%,10.90%
386,Yariel Rodriguez,TOR,2,2,4.24,36,0,0,1,,36,154,32,19,17,5,17,,2,35,8.72,4.13,1.35,22.70%,10.70%
387,Thomas Szapucki,,0,0,4.13,1,0,0,0,,1,4,1,1,0,0,0,0,0,1,7.66,3.15,1.19,21.80%,9.00%
388,Hagen Danner,CIN,0,0,4.26,1,0,0,0,,1,5,1,1,0,0,0,0,0,1,8.28,3.28,1.34,21.00%,8.30%
389,Walter Pennington,,0,0,4.2,1,0,0,0,,1.1,6,1,1,1,0,1,0,0,1,8.34,3.74,1.37,21.50%,9.70%
390,Elvis Peguero,,0,0,4.1,1,0,0,0,,1,5,1,0,0,0,0,0,0,1,7.95,4.39,1.47,19.60%,10.80%
391,Braxton Roxby,SFG,0,0,3.91,1,0,0,0,,1.1,6,1,1,1,0,1,0,0,1,9.2,3.98,1.34,23.50%,10.20%
392,Yunior Marte,CIN,1,1,4.35,16,0,0,1,,16,71,15,8,8,2,7,,1,15,8.25,4.15,1.42,20.60%,10.40%
393,Jose Quijada,,0,0,3.97,1,0,0,0,,1,4,1,0,0,0,0,0,0,1,10.28,4.33,1.32,26.30%,11.10%
394,Dugan Darnell,DET,0,0,4.2,1,0,0,0,,1.1,6,1,1,1,0,1,0,0,1,8.43,3.55,1.33,21.80%,9.20%
395,Joe Jacques,NYM,0,0,3.89,1,0,0,0,,1,5,1,1,0,0,0,0,0,1,8.42,3.72,1.43,20.10%,8.90%
396,Shawn Dubin,ARI,0,0,4.16,1,0,0,0,,1.2,7,2,1,1,0,1,0,0,2,8.91,3.86,1.4,22.20%,9.60%
397,Jonathan Hernandez,PHI,0,0,4.12,1,0,0,0,,1.1,5,1,1,1,0,1,0,0,1,8.65,4.24,1.41,21.70%,10.70%
398,Miguel Castro,,0,0,4.26,1,0,0,0,,1,4,1,1,0,0,0,0,0,1,7.93,3.63,1.33,20.70%,9.50%
399,Garrett Hawkins,SDP,1,1,3.98,26,0,0,1,,26,112,22,13,11,4,12,,1,28,9.6,3.99,1.29,24.80%,10.30%
400,Jacob Waguespack,MIL,0,0,4.14,1,0,0,0,,1.2,7,2,1,1,0,1,0,0,2,8.26,3.48,1.29,21.70%,9.20%
401,Carlos Estevez,KCR,3,3,4.64,65,0,31,2,,65,273,62,37,34,10,24,,3,55,7.68,3.36,1.32,20.30%,8.90%
