#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
185,Luis Medina,ATH,5,5,4.58,45,11,0,1,,92.0,405,89,50,47,11,41,,6,81,7.98,4.04,1.42,20.1%,10.2%,4
186,Erick Fedde,CHW,6,8,4.95,29,18,0,1,,110.0,480,114,65,60,18,42,,3,84,6.90,3.47,1.43,17.5%,8.8%,7
187,Griffin Canning,SDP,6,7,4.54,30,18,0,1,,106.0,455,104,57,53,17,40,,3,94,8.03,3.39,1.37,20.7%,8.8%,7
188,Connelly Early,BOS,3,3,3.80,27,5,0,1,,48.0,204,43,22,20,5,17,,3,49,9.22,3.28,1.27,24.0%,8.5%,2
189,Cody Bradford,TEX,4,4,4.36,36,8,0,1,,71.0,300,71,37,35,11,17,,2,61,7.65,2.15,1.23,20.3%,5.7%,3
190,Stephen Kolek,KCR,4,4,4.23,41,8,0,1,,77.0,335,81,40,36,8,24,,5,55,6.40,2.82,1.36,16.4%,7.2%,3
191,Alex Cobb,,2,2,3.99,6,6,0,0,,34.0,146,35,16,15,4,11,,1,28,7.48,2.94,1.35,19.3%,7.6%,3
192,J.T. Ginn,ATH,3,3,4.14,30,6,0,1,,57.0,246,55,29,26,7,20,,4,55,8.61,3.15,1.30,22.3%,8.2%,2
193,Spencer Arrighetti,HOU,5,6,4.45,29,13,0,1,,86.0,373,79,46,42,13,38,,5,86,9.04,4.01,1.36,23.1%,10.3%,5
194,Jake Irvin,WSN,5,7,4.83,24,16,0,1,,98.0,423,102,57,53,16,32,,4,74,6.73,2.94,1.37,17.4%,7.6%,6
195,Tyler Anderson,LAA,5,7,4.87,18,18,0,0,,98.0,430,101,57,53,16,39,,4,75,6.92,3.59,1.43,17.5%,9.1%,8
196,Colin Rea,CHC,4,5,4.37,44,8,0,1,,82.0,349,83,43,40,12,23,,4,65,7.14,2.54,1.29,18.6%,6.6%,3
197,Payton Tolle,BOS,3,2,4.03,29,5,0,1,,48.0,204,45,23,22,7,16,,2,50,9.32,2.89,1.24,24.5%,7.6%,2
198,Jordan Montgomery,TEX,3,3,4.37,18,6,0,1,,49.0,211,50,26,24,7,16,,2,40,7.39,2.89,1.35,19.1%,7.5%,2
199,Taijuan Walker,PHI,6,8,4.96,50,16,0,1,,120.0,525,129,71,66,20,43,,5,84,6.34,3.22,1.43,16.1%,8.2%,5
200,Martin Perez,ATL,2,3,4.53,8,8,0,0,,45.0,195,47,24,22,6,17,,1,34,6.90,3.42,1.44,17.5%,8.7%,4
201,Marcus Stroman,,3,4,4.71,11,11,0,0,,59.0,260,62,34,31,8,23,,2,41,6.31,3.50,1.44,16.0%,8.9%,5
202,Charlie Morton,,3,4,4.62,10,10,0,0,,52.0,229,50,29,27,7,24,,4,51,8.92,4.12,1.42,22.4%,10.3%,5
203,Josiah Gray,WSN,6,8,4.97,21,21,0,0,,114.0,502,114,68,63,20,48,,6,99,7.82,3.79,1.42,19.8%,9.6%,9
204,Caden Dana,LAA,5,7,4.99,16,16,0,0,,86.0,379,86,51,48,14,38,,4,76,7.92,3.94,1.43,20.0%,10.0%,7
205,Trevor McDonald,SFG,3,4,4.22,24,8,0,1,,62.0,270,63,32,29,7,21,,5,48,6.95,3.00,1.35,17.8%,7.7%,3
206,Mitchell Parker,WSN,3,5,4.55,34,6,0,1,,63.0,272,65,34,32,9,21,,1,48,6.81,3.06,1.38,17.5%,7.9%,2
207,Hayden Birdsong,SFG,3,4,4.41,26,8,0,1,,58.0,255,53,31,29,7,28,,4,58,8.93,4.30,1.39,22.7%,10.9%,3
208,Gavin Stone,LAD,2,2,4.43,19,5,0,1,,40.0,171,40,21,20,6,13,,1,35,7.95,2.96,1.32,20.7%,7.7%,2
209,Kyle Hurt,LAD,3,2,4.37,25,5,0,1,,44.0,192,40,23,21,6,21,,2,46,9.41,4.19,1.38,24.0%,10.7%,2
210,Drew Thorpe,CHW,2,3,4.82,8,8,0,0,,43.0,188,45,25,23,7,16,,1,33,6.84,3.25,1.40,17.5%,8.3%,3
211,Jonah Tong,NYM,2,2,3.71,13,3,0,1,,26.0,112,22,12,11,3,11,,1,30,10.27,3.71,1.26,26.9%,9.7%,1
212,Clarke Schmidt,NYY,2,2,3.99,17,3,0,1,,32.0,134,29,15,14,4,11,,2,31,8.83,3.04,1.25,23.1%,8.0%,1
213,Jose Urquidy,PIT,5,7,4.88,33,15,0,1,,95.0,407,100,55,51,15,28,,4,69,6.57,2.67,1.35,17.0%,6.9%,5
214,Quinn Mathews,STL,2,3,4.31,8,8,0,0,,40.0,178,38,21,19,5,20,,2,36,8.16,4.59,1.46,20.5%,11.5%,4
215,Tanner Gordon,COL,3,4,5.25,30,6,0,1,,57.0,249,67,36,33,11,13,,1,42,6.52,2.05,1.39,16.7%,5.3%,2
216,Ryan Bergert,KCR,2,3,4.64,28,8,0,1,,60.0,260,60,33,31,8,24,,2,50,7.48,3.65,1.41,19.1%,9.3%,3
217,Thomas White,MIA,1,1,4.22,5,5,0,0,,24.0,104,22,12,11,3,11,,1,23,8.90,4.36,1.40,22.5%,11.0%,2
218,Ty Johnson,TBR,1,1,4.22,3,3,0,0,,17.0,73,16,9,8,2,6,,1,17,8.88,3.26,1.28,23.1%,8.5%,2
219,Spencer Turnbull,,2,2,4.90,6,6,0,0,,33.0,147,35,19,18,4,14,,2,24,6.61,3.71,1.47,16.5%,9.2%,3
220,River Ryan,LAD,2,2,4.78,14,6,0,1,,39.0,173,40,23,21,6,16,,2,32,7.41,3.70,1.42,18.7%,9.3%,2
221,Gage Jump,ATH,1,1,4.31,3,3,0,0,,16.0,70,16,8,8,2,6,,1,14,7.80,3.06,1.33,20.2%,7.9%,1
222,Jason Alexander,HOU,2,3,4.48,29,5,0,1,,50.0,219,53,27,25,7,16,,2,38,6.87,2.94,1.38,17.6%,7.5%,2
223,George Klassen,LAA,2,2,4.49,15,3,0,1,,28.0,124,28,15,14,4,12,,1,26,8.32,3.75,1.39,21.2%,9.6%,1
224,Tanner McDougal,CHW,2,2,4.75,19,5,0,1,,38.0,167,37,21,20,5,18,,2,33,7.80,4.26,1.47,19.5%,10.6%,2
225,Carson Whisenhunt,SFG,2,2,4.27,15,3,0,1,,29.0,124,29,15,14,4,10,,1,23,7.20,3.07,1.36,18.5%,7.9%,1
226,JP Sears,SDP,3,3,4.51,27,5,0,1,,48.0,202,46,26,24,9,13,,3,42,7.98,2.47,1.24,21.0%,6.5%,2
227,Mitch Farris,LAA,1,2,4.80,5,5,0,0,,26.0,115,26,15,14,4,11,,1,23,7.94,3.93,1.44,20.0%,9.9%,2
228,Noah Schultz,CHW,1,1,4.58,3,3,0,0,,16.0,71,16,9,8,2,7,,1,13,7.52,4.01,1.44,18.9%,10.1%,1
229,JR Ritchie,ATL,1,1,4.50,3,3,0,0,,17.0,75,17,9,9,2,6,,1,14,7.55,3.36,1.37,19.3%,8.6%,1
