Unnamed: 0,#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
10,12,Kyle Tucker,CHC,148,513.9796875000001,597.0,112.8703125,0.2375,0.71900826446281,0.25619834710743805,0.02479338842975207,0.0484375,0.146875,0.153125,0.1234375,0.009375000000000001,0.1515625,0.004687500000000001,0.009375000000000001,0.0,0.034375,0.0078125,0.0265625,0.275,0.3661971830985915,0.5117967332123412,0.8779939163109327,0.282051282051282,15.156249999999998,12.34375,500,597,111,0.22278056951423786,0.7387387387387387,0.22522522522522523,0.036036036036036036,0.03685092127303183,0.152428810720268,0.12227805695142378,0.1457286432160804,0.011725293132328308,0.1474036850921273,0.006700167504187605,0.005025125628140704,0.0016750418760469012,0.04187604690117253,0.005025125628140704,0.03685092127303183,0.266,0.377,0.464,0.841,0.282,14.7,14.6
11,13,Adley Rutschman,BAL,146,319.7471451876019,364.99999999999994,71.45187601957585,0.2267536704730832,0.75,0.23333333333333334,0.016666666666666666,0.030995106035889074,0.11908646003262642,0.11908646003262642,0.10766721044045678,0.0048939641109298545,0.15823817292006526,0.008156606851549756,0.008156606851549756,0.0016313213703099511,0.0032626427406199023,0.0016313213703099511,0.0016313213703099511,0.258,0.3425774877650897,0.4245810055865922,0.767158493,0.2816901408450704,15.823817292006526,10.766721044045676,322,365,62,0.19452054794520549,0.7096774193548387,0.25806451612903225,0.03225806451612903,0.024657534246575342,0.10136986301369863,0.07945205479452055,0.1095890410958904,0.0,0.15616438356164383,0.0027397260273972603,0.005479452054794521,0.0,0.0,0.0,0.0,0.22,0.307,0.366,0.673,0.24,15.6,11.0
12,14,Julio Rodriguez,SEA,147,643.5413416536662,710.0,148.42433697347894,0.24960998439937598,0.7611940298507464,0.208955223880597,0.022388059701492536,0.0405616224648986,0.13884555382215288,0.1310452418028169,0.0717628705148206,0.0046801872074883,0.24336973478939158,0.014040561622464903,0.0046801872074883,0.0,0.046801872074883004,0.0109204368174727,0.0358814352574103,0.275,0.3364632237871675,0.4664371772805508,0.8029004010677183,0.3333333333333333,24.336973478939157,7.176287051,652,710,142,0.24507042253521127,0.7535211267605634,0.21830985915492956,0.028169014084507043,0.04507042253521127,0.14929577464788732,0.13380281690140844,0.061971830985915494,0.007042253521126761,0.2140845070422535,0.016901408450704224,0.0028169014084507044,0.0,0.04225352112676056,0.008450704225352112,0.03380281690140845,0.267,0.324,0.474,0.798,0.302,21.4,6.2
13,15,Vladimir Guerrero Jr.,TOR,154,597.4212893553223,680.0,145.7871064467766,0.2593703148425787,0.7622377622377623,0.2307692307692308,0.006993006993006993,0.044977511244377814,0.14092953523238383,0.14842578710644677,0.10194902548725639,0.010494752623688156,0.13793103448275862,0.010494752623688156,0.005997001499250375,0.0014992503748125934,0.008995502248875561,0.0029985007496251873,0.005997001499250375,0.296,0.3729323308270676,0.5085324232081911,0.8814647540352588,0.3055555555555556,13.79310344827586,10.194902548725636,589,680,149,0.2529411764705882,0.7718120805369127,0.22818791946308725,0.0,0.033823529411764704,0.1411764705882353,0.12352941176470589,0.11911764705882352,0.011764705882352941,0.13823529411764707,0.008823529411764706,0.0058823529411764705,0.0,0.008823529411764706,0.004411764705882353,0.004411764705882353,0.292,0.381,0.467,0.848,0.313,13.8,11.9
14,16,Francisco Lindor,NYM,153,646.9090909090909,732.0,133.0909090909091,0.22503725782414305,0.7377049180327867,0.2459016393442623,0.016393442622950817,0.04321907600596125,0.13710879284649777,0.12667660208643813,0.0864381520119225,0.0014903129657228016,0.19374068554396423,0.014903129657228016,0.007451564828614008,0.0014903129657228016,0.03427719821162444,0.00894187779433681,0.025335320417287626,0.254,0.3288288288288288,0.4586846543001686,0.7875134831289975,0.2779043280182232,19.374068554396423,8.643815201,644,732,141,0.23497267759562843,0.75177304964539,0.24822695035460993,0.0,0.04234972677595628,0.1598360655737705,0.11748633879781421,0.08879781420765027,0.00273224043715847,0.17896174863387979,0.02185792349726776,0.009562841530054645,0.0,0.04234972677595628,0.00819672131147541,0.03415300546448088,0.267,0.346,0.466,0.811,0.288,17.9,8.9
15,17,Ketel Marte,ARI,141,488.08469055374593,556.0,107.7589576547231,0.24104234527687293,0.7226890756302523,0.2521008403361345,0.02521008403361345,0.04723127035830619,0.14169381107491855,0.1547231270358306,0.10423452768729641,0.0065146579804560255,0.18241042345276873,0.009771986970684038,0.0065146579804560255,0.0016286644951140064,0.009771986970684038,0.0032573289902280127,0.0065146579804560255,0.275,0.3556280587275693,0.5027829313543599,0.8584109900819292,0.2960199004975124,18.24104234527687,10.423452768729645,480,556,108,0.2446043165467626,0.7407407407407407,0.25925925925925924,0.0,0.050359712230215826,0.1564748201438849,0.12949640287769784,0.11510791366906475,0.01079136690647482,0.14928057553956833,0.01618705035971223,0.00539568345323741,0.0,0.007194244604316547,0.0035971223021582736,0.0035971223021582736,0.283,0.376,0.517,0.893,0.29,14.9,11.5
16,18,Fernando Tatis Jr.,SDP,146,616.6518987341773,691.0,130.10917721734177,0.2389240506329114,0.739495798307097,0.25210084033196495,0.01680672268879766,0.05063291138929088,0.15348101265822783,0.14082278481012658,0.08860759493670886,0.0015822784810126582,0.2246835443037975,0.011075949367088608,0.006329113924050633,0.0015822784810126582,0.04113924050632912,0.00949367088607595,0.03164556962025317,0.268,0.3391442155309033,0.5,0.8391442155309033,0.3020304568527919,22.468354430379748,8.860759493670885,594,691,134,0.2301013024602026,0.7835820895522388,0.20149253731343283,0.014925373134328358,0.0361794500723589,0.16063675832127353,0.10274963820549927,0.1287988422575977,0.010130246020260492,0.18668596237337193,0.008683068017366137,0.002894356005788712,0.0,0.04630969609261939,0.010130246020260492,0.0361794500723589,0.268,0.368,0.446,0.814,0.303,18.7,12.9
17,19,Corbin Carroll,ARI,150,560.3981623277182,642.0,122.89433384379785,0.225114854517611,0.6880000000000001,0.24000000000000002,0.072,0.033690658499234305,0.1562021439509954,0.11332312404287903,0.1010719754977029,0.0015313935681470136,0.19908116385911176,0.013782542113323124,0.0061255742725880545,0.004594180704441041,0.06125574272588056,0.010719754976635515,0.05053598774885145,0.258,0.3420647149460709,0.4578947368421052,0.7999594517881761,0.2962085308056872,19.90811638591118,10.10719754977029,564,642,115,0.22741433021806853,0.5739130434782609,0.2782608695652174,0.14782608695652175,0.048286604361370715,0.16666666666666666,0.1308411214953271,0.1043613707165109,0.006230529595015576,0.2383177570093458,0.010903426791277258,0.006230529595015576,0.0,0.04984423676012461,0.009345794392523364,0.040498442367601244,0.259,0.343,0.541,0.883,0.299,23.8,10.4
18,20,Francisco Alvarez,NYM,123,247.2150537634409,277.0,44.081720430107524,0.19999999999999998,0.7702702702702703,0.22972972972972974,0.013513513513513514,0.040860215053763436,0.11182795698924732,0.1247311827797834,0.08602150537634409,0.002150537634408602,0.25591397849462366,0.012903225806451613,0.0064516129032258064,0.002150537634408602,0.002150537634408602,0.002150537634408602,0.0,0.224,0.2995689655172414,0.4096385542168674,0.7092075197341088,0.2642857142857143,25.591397849462368,8.602150538,246,277,52,0.22743682310469315,0.75,0.23076923076923078,0.019230769230769232,0.039711191335740074,0.11552346570397112,0.11552346570397112,0.09747292418772563,0.0,0.26353790613718414,0.01444043321299639,0.0,0.0,0.0,0.0,0.0,0.256,0.339,0.447,0.787,0.321,26.4,9.7
19,21,Ronald Acuna Jr.,ATL,116,355.74615384615385,412.0,85.56923076923076,0.2461538461538461,0.7685185185185187,0.22222222222222227,0.018518518518518517,0.03846153846153846,0.1673076923076923,0.11730769230769231,0.11153846153846153,0.0038461538461538455,0.17884615384615385,0.015384615384615384,0.0057692307692307696,0.0,0.07884615384615384,0.019230769230769232,0.05961538461538461,0.285,0.3745173745173745,0.4832962138084632,0.8578135883258378,0.3185840707964602,17.884615384615383,11.153846153846157,338,412,77,0.23786407766990292,0.8311688311688312,0.15584415584415584,0.012987012987012988,0.050970873786407765,0.1796116504854369,0.10194174757281553,0.17233009708737865,0.009708737864077669,0.24757281553398058,0.007281553398058253,0.0,0.0,0.021844660194174758,0.0024271844660194173,0.019417475728155338,0.29,0.417,0.518,0.935,0.358,24.8,17.2
