#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
114,Danny Jansen,TEX,88,282,325,58,33,12,0,13,35,38,35,0,79,5,2,1,0,0,0,0.205,0.301,0.382,0.684,0.235,24.20%,10.70%
115,J.T. Realmuto,PHI,119,418,465,105,70,19,3,13,55,53,30,1,112,7,4,0,8,2,6,0.252,0.31,0.403,0.713,0.311,24.00%,6.50%
116,Jeff McNeil,ATH,130,469,526,122,81,26,2,12,61,55,42,2,69,8,4,3,3,1,2,0.26,0.328,0.404,0.732,0.279,13.10%,7.90%
117,Teoscar Hernandez,LAD,131,501,545,132,80,25,1,25,75,79,34,1,139,5,4,1,6,2,4,0.263,0.314,0.469,0.783,0.312,25.60%,6.30%
118,Miguel Vargas,CHW,137,509,576,121,74,28,1,17,65,62,55,1,108,6,5,1,8,2,6,0.237,0.316,0.399,0.716,0.267,18.80%,9.60%
119,Eugenio Suarez,CIN,142,530,595,125,65,22,1,37,76,98,49,1,174,10,5,1,2,1,1,0.236,0.31,0.491,0.801,0.272,29.30%,8.20%
120,Yandy Diaz,TBR,141,544,609,153,109,26,1,17,72,75,55,1,90,5,4,1,2,1,1,0.282,0.352,0.427,0.778,0.309,14.80%,9.10%
121,Willson Contreras,BOS,131,477,552,120,75,23,1,22,70,73,51,1,140,16,4,1,5,2,3,0.252,0.342,0.444,0.785,0.308,25.40%,9.20%
122,Sean Murphy,ATL,84,282,324,63,37,11,1,14,39,43,31,1,90,7,2,0,0,0,0,0.223,0.314,0.415,0.729,0.272,27.70%,9.60%
123,Munetaka Murakami,CHW,131,444,531,91,45,15,1,30,75,75,78,2,200,6,2,1,10,3,7,0.206,0.331,0.445,0.776,0.284,37.70%,14.80%
124,Salvador Perez,KCR,138,516,566,130,79,24,0,26,63,88,28,4,117,9,5,0,0,0,0,0.252,0.3,0.454,0.754,0.274,20.60%,5.00%
125,Xavier Edwards,MIA,133,518,576,144,115,23,3,3,67,43,46,1,81,3,4,5,27,7,20,0.278,0.337,0.354,0.692,0.322,14.00%,7.90%
126,Joey Bart,PIT,86,285,322,67,47,11,1,8,34,33,29,0,90,6,2,0,1,0,1,0.235,0.317,0.36,0.677,0.312,27.90%,9.10%
127,George Springer,TOR,130,494,563,125,79,20,2,22,76,69,56,1,108,6,4,1,12,3,9,0.252,0.333,0.439,0.771,0.278,19.20%,9.90%
128,Michael Busch,CHC,140,513,582,124,72,25,2,25,73,80,56,1,148,8,4,1,3,1,2,0.242,0.324,0.443,0.767,0.289,25.40%,9.70%
129,Jake Cronenworth,SDP,140,492,569,113,74,25,2,13,62,55,60,1,115,10,4,2,4,1,3,0.229,0.322,0.364,0.687,0.271,20.20%,10.50%
130,Matt McLain,CIN,127,460,518,107,68,20,3,16,63,53,47,1,146,6,3,1,15,4,11,0.233,0.31,0.395,0.705,0.303,28.20%,9.00%
131,Jakob Marsee,MIA,132,497,570,112,73,24,3,12,68,49,58,1,126,8,4,4,26,6,20,0.225,0.314,0.358,0.672,0.275,22.00%,10.20%
132,Jonathan Aranda,TBR,135,493,559,128,82,25,1,20,66,75,52,2,138,9,4,0,1,0,1,0.26,0.339,0.438,0.776,0.317,24.60%,9.30%
133,Alec Bohm,PHI,132,511,557,137,98,24,2,13,61,64,35,1,89,4,6,1,3,1,2,0.268,0.317,0.399,0.716,0.298,15.90%,6.30%
134,Jarren Duran,BOS,140,547,608,141,88,33,6,15,81,64,49,1,141,7,3,1,24,5,19,0.258,0.326,0.422,0.747,0.32,23.20%,8.10%
135,Chase Meidroth,CHW,123,465,526,119,91,20,1,7,58,43,50,0,79,7,3,2,11,3,8,0.255,0.334,0.345,0.68,0.292,15.00%,9.40%
136,Sal Frelick,MIL,133,497,553,130,97,22,3,8,63,52,44,1,76,5,3,2,17,4,13,0.261,0.326,0.367,0.693,0.293,13.70%,7.90%
137,Evan Carter,TEX,104,360,406,85,55,17,3,11,52,39,38,1,92,5,3,0,15,4,11,0.237,0.316,0.39,0.706,0.287,22.60%,9.30%
138,Heliot Ramos,SFG,145,548,607,139,90,25,2,22,75,73,46,1,149,8,4,1,6,2,4,0.253,0.317,0.424,0.741,0.306,24.50%,7.50%
139,Nolan Arenado,ARI,130,497,542,127,86,25,1,15,58,67,35,2,74,4,5,1,3,1,2,0.256,0.307,0.401,0.708,0.271,13.60%,6.50%
140,Lawrence Butler,ATH,135,500,555,120,72,25,2,21,73,63,49,1,150,2,4,1,16,4,12,0.239,0.307,0.419,0.726,0.298,27.10%,8.80%
141,Kevin McGonigle,DET,78,291,324,74,47,15,2,9,40,36,28,1,48,2,3,1,6,2,4,0.254,0.32,0.418,0.738,0.273,14.70%,8.60%
142,Carlos Narvaez,BOS,108,371,414,83,54,16,0,12,42,47,36,1,110,4,3,1,3,1,2,0.223,0.296,0.366,0.662,0.282,26.60%,8.60%
143,Nolan Schanuel,LAA,140,511,594,135,98,22,2,13,69,57,66,3,81,9,5,3,6,2,4,0.264,0.356,0.389,0.745,0.29,13.70%,11.20%
144,Ozzie Albies,ATL,140,531,585,131,85,27,2,17,68,67,42,1,87,5,6,1,9,3,6,0.247,0.305,0.4,0.705,0.264,14.90%,7.20%
