#,Team,Position,Name,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
106,CHC,"2B, OF, 3B",Christopher Morel,549.2828283,611,132.6919192,73.03198653,24.68686869,4.114478114,30.85858586,82.28956229,81.26094276,53.48821549,0,191.3232323,4.114478114,4.114478114,0,17.48653199,6.171717172,11.31481481,0.242,0.311447811,0.470037453,0.781485265,0.307453416,31.31313131,8.754208754,535,611,105,70,11,3,21,56,60,61,3,159,10,5,0,8,7,0.196,0.288,0.346,0.634,0.233,26,10
107,CHW,OF,Eloy Jimenez,320.9114688,349,85.67002012,54.77263581,15.44869215,0,15.44869215,42.83501006,46.34607646,23.87525151,0,74.43460765,2.106639839,2.106639839,0,0,0,0,0.267,0.319919517,0.4595186,0.779438117,0.301204819,21.32796781,6.841046278,324,349,77,57,14,0,6,25,23,22,1,70,2,1,0,3,0,0.238,0.289,0.336,0.626,0.285,20.1,6.3
109,MIA,3B,Jake Burger,529.7234043,579,134.5630115,76.75777414,29.37643208,0.947626841,27.4811784,70.12438625,83.39116203,35.06219313,0,156.3584288,9.476268412,4.738134206,0,0.947626841,0,0.947626841,0.254,0.309328969,0.468694097,0.778023066,0.305405405,27.00490998,6.055646481,535,579,134,81,23,1,29,68,76,31,2,150,9,4,0,1,1,0.25,0.301,0.46,0.76,0.292,25.9,5.4
110,NYY,2B,Gleyber Torres,595.8818898,665,159.1811024,103.6771654,30.37007874,1.047244094,24.08661417,89.01574803,84.82677165,60.74015748,0,118.3385827,3.141732283,5.236220472,0,13.61417323,5.236220472,8.377952756,0.267,0.335433071,0.44288225,0.77831532,0.294520548,17.79527559,9.133858268,587,665,151,110,26,0,15,80,63,65,0,136,3,8,2,4,3,0.257,0.33,0.378,0.709,0.306,20.5,9.8
111,PHI,C,J.T. Realmuto,372.8366972,413,96.24036697,57.59266055,18.94495413,3.788990826,15.91376147,56.07706422,53.80366972,28.79633028,0,102.3027523,7.577981651,3.788990826,0,12.88256881,3.031192661,9.851376147,0.258,0.321100917,0.457317073,0.778417991,0.31085044,24.7706422,6.972477064,380,413,101,68,18,1,14,50,47,27,1,102,5,1,0,2,2,0.266,0.322,0.429,0.751,0.328,24.7,6.5
112,HOU,OF,Chas McCormick,236.8218391,267,59.84482759,37.33908046,10.22988506,1.022988506,11.25287356,36.82758621,33.75862069,25.06321839,0,69.05172414,3.068965517,2.045977011,0,9.206896552,2.557471264,6.649425287,0.253,0.329501916,0.447084233,0.776586149,0.306451613,25.86206897,9.38697318,242,267,51,39,6,1,5,32,27,17,0,72,4,3,1,8,2,0.211,0.271,0.306,0.576,0.274,27,6.4
113,WSN,SS,CJ Abrams,549.8582677,602,146.9448819,92.90708661,26.54488189,6.636220472,20.85669291,80.58267717,60.67401575,36.97322835,0,104.2834646,11.37637795,3.792125984,0,42.66141732,8.532283465,34.12913386,0.267,0.324409449,0.453448276,0.777857725,0.294247788,17.32283465,6.141732283,541,602,133,78,29,6,20,79,65,40,3,128,16,4,1,31,12,0.246,0.314,0.433,0.747,0.285,21.3,6.6
114,COL,2B,Brendan Rodgers,490.7449324,539,133.839527,86.49493243,27.31418919,2.731418919,17.29898649,65.55405405,65.55405405,39.15033784,0,104.7043919,5.462837838,3.641891892,0,0.910472973,0,0.910472973,0.273,0.331081081,0.445269017,0.776350098,0.312958435,19.42567568,7.263513514,501,539,134,91,29,1,13,67,54,31,1,132,4,2,1,1,0,0.267,0.314,0.407,0.721,0.338,24.5,5.8
115,KCR,"OF, C",MJ Melendez,391.7339744,451,96.12660256,55.65224359,21.68269231,2.168269231,16.62339744,56.375,54.92948718,52.76121795,0,120.7003205,2.891025641,3.613782051,0,5.059294872,2.168269231,2.891025641,0.245,0.336538462,0.439114391,0.775652853,0.308123249,26.76282051,11.69871795,412,451,85,42,23,3,17,44,44,35,1,113,3,0,0,4,4,0.206,0.273,0.4,0.674,0.241,25.1,7.8
116,MIA,OF,Bryan De La Cruz,576.584127,622,157.968254,100.7047619,33.56825397,0,23.6952381,74.04761905,78.98412698,39.49206349,0,133.2857143,1.974603175,3.949206349,0,2.961904762,0.987301587,1.974603175,0.274,0.320634921,0.455479452,0.776114373,0.317016317,21.42857143,6.349206349,584,622,136,90,25,0,21,61,68,29,1,170,3,5,0,5,2,0.233,0.271,0.384,0.654,0.289,27.3,4.7
