#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
107,Otto Lopez,MIA,141,558,609,146,106,24,5,11,70,67,43,1,91,3,3,1,15,6,9,0.261,0.316,0.383,0.698,0.293,14.90%,7.00%
108,Max Muncy,LAD,105,372,455,81,43,15,1,22,61,66,71,2,115,7,5,0,2,0,2,0.218,0.307,0.395,0.702,0.329,28.80%,6.30%
109,J.P. Crawford,SEA,147,550,637,130,91,26,1,12,69,59,74,1,120,5,3,4,5,1,4,0.236,0.331,0.351,0.681,0.28,18.90%,11.60%
110,Colson Montgomery,CHW,139,540,602,117,67,19,3,26,72,95,49,1,182,10,2,0,2,1,1,0.216,0.292,0.41,0.702,0.27,30.20%,8.20%
111,Jake Meyers,HOU,113,439,490,110,78,19,2,10,58,45,40,0,102,6,2,2,12,4,8,0.249,0.319,0.37,0.688,0.303,20.90%,8.10%
112,Spencer Torkelson,DET,151,570,651,138,75,31,1,31,86,97,69,3,167,7,5,0,2,0,2,0.242,0.329,0.465,0.794,0.283,25.60%,10.50%
113,JJ Wetherholt,STL,125,475,539,121,89,21,1,10,68,64,52,1,87,10,2,0,12,2,10,0.254,0.338,0.367,0.705,0.29,16.10%,9.60%
114,Colton Cowser,BAL,118,451,511,107,62,23,1,20,67,69,49,1,160,8,3,0,15,2,13,0.237,0.321,0.427,0.748,0.317,31.30%,9.50%
115,Teoscar Hernandez,LAD,138,547,595,146,87,29,1,30,75,97,37,1,157,6,4,0,6,2,4,0.266,0.318,0.485,0.802,0.319,26.50%,6.20%
116,Jorge Polanco,NYM,126,484,546,122,77,21,0,24,65,80,52,1,107,3,5,2,5,2,3,0.253,0.327,0.446,0.773,0.275,19.70%,9.50%
117,Ben Rice,NYY,128,476,546,115,64,23,2,26,76,79,56,0,113,9,4,0,4,2,2,0.241,0.33,0.462,0.792,0.26,20.70%,10.30%
118,Yainer Diaz,HOU,128,481,509,131,89,22,2,18,57,67,21,1,89,3,4,0,1,0,1,0.272,0.304,0.436,0.74,0.298,17.50%,4.20%
119,Willson Contreras,BOS,141,526,609,134,79,32,1,22,73,82,56,1,149,23,3,1,5,1,4,0.254,0.35,0.443,0.793,0.313,24.50%,9.20%
120,Harrison Bader,SFG,123,483,532,123,85,21,1,16,68,60,34,0,125,10,5,0,16,7,9,0.254,0.314,0.401,0.714,0.309,23.60%,6.40%
121,Austin Wells,NYY,117,411,461,92,53,20,1,18,49,66,39,0,112,5,6,0,5,1,4,0.225,0.296,0.413,0.709,0.258,24.30%,8.50%
