Name,Team,Position,BABIP,K%,BB%,HR%,1B%,2B%,3B%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%,NSB%
JJ Wetherholt,STL ,"2B,3B,SS",0.283,0.17445,0.08529999999999999,0.01721128282719109,0.7576462765957447,0.22224069148936168,0.012348466105888103,0.1031578947368421,0.0985626283367556,0.001912593959899005,0.01280579271587591,0.0063157894736842,0.0018480492813141,0.022506314454099702,0.00482022134666045,0.017686093107439252
Luis Arraez,SF ,"1B,2B",0.3045,0.0407,0.0534,0.00066115702479338,0.8220784532440973,0.1565811489124372,0.018351145843477107,0.1072607260726072,0.0892561983471074,0.0034808574247180745,0.00660175108419932,0.0082508250825082,0.010049215340328689,0.013127628245094974,0.0049859001563546754,0.008141728088740299
Anthony Volpe,NYY ,SS,0.27790000000000004,0.23905,0.0712,0.029213416561314747,0.744375,0.253125,0.025389610389610358,0.1183035714285714,0.1084070796460177,0.0,0.008920670037926641,0.0089285714285714,0.004402468952182601,0.03705287424704388,0.008957353756442025,0.028095520490601853
Tommy Edman,LAD ,"2B,3B,OF",0.27165000000000006,0.17450000000000002,0.064,0.025221088435374142,0.7581996792301523,0.2190256615878107,0.020816233470132173,0.125,0.1133786848072562,0.00034090909090908004,0.00931560502989066,0.0068181818181818,0.00223922902494328,0.020762471655328775,0.00406449051769245,0.016697981137636327
Austin Wells,NYY ,C,0.2531,0.24575,0.0834,0.04052236092594833,0.7327464788732394,0.25440140845070425,0.01459287123708431,0.1126126126126126,0.1300448430493273,0.00033783783783783,0.01125621136831893,0.009009009009009,0.00201793721973093,0.009437954145307,0.0023292827435581497,0.00710867140174885
Ezequiel Tovar,COL ,SS,0.32385,0.242,0.048999999999999995,0.03342471337579617,0.7328918888129414,0.25140977443609025,0.029004329004328994,0.1184,0.1130573248407643,0.0,0.006396942675159231,0.008,0.009520385100824761,0.014204628841468774,0.004782802547770649,0.009421826293698124
Matt Shaw,CHC ,3B,0.27995000000000003,0.1982,0.0797,0.02186080057699238,0.7609090909090909,0.20454545454545453,0.030898370497427045,0.1205673758865248,0.1050847457627118,0.0,0.010591417237648731,0.0070921985815602,0.0030508474576270497,0.03788673661555012,0.009899845916795026,0.027986890698755096
Logan O'Hoppe,LAA ,C,0.2852,0.28305,0.0691,0.04229749282712498,0.764421052631579,0.21934210526315784,0.013917785330907154,0.111358574610245,0.1175166297117516,0.0,0.01113091916503282,0.0066815144766146,0.00222028451132312,0.0050113356087595,0.002322601782026425,0.002688733826733075
Josh Jung,TEX ,3B,0.3009,0.2521,0.0564,0.03166532271803195,0.7675737962145729,0.22249190938511326,0.010196764054253585,0.1084812623274161,0.1190019193857965,0.0,0.007676407454939849,0.0059171597633136,0.0,0.00796274292755415,0.0020038734331876,0.00595886949436655
Chase DeLauter,CLE ,OF,0.2755,0.18555,0.07880000000000001,0.024500057464659223,0.7560635412630763,0.24283223556760944,0.011306620055651374,0.1017699115044247,0.1103896103896103,0.000548308623529845,0.00640635176033404,0.0066371681415929,0.0,0.006445760122230626,0.0021777003484319997,0.004268059773798626
Marcelo Mayer,BOS ,"2B,3B",0.30195,0.23215,0.07269999999999999,0.0249895110343918,0.7342824074074075,0.2647762345679012,0.02078817547055248,0.1091811414392059,0.1111111111111111,0.002833253407563,0.00494959302813436,0.0074441687344913,0.0021739130434781997,0.01213678874848285,0.004437520653354075,0.007699268095128774
Jose Caballero,NYY ,"2B,3B,SS,OF",0.28195000000000003,0.25585,0.09259999999999999,0.02181627729812087,0.7795430107526882,0.21895161290322573,0.016766065377910942,0.1368715083798882,0.0852272727272727,0.0,0.016788344337226972,0.0055865921787709,0.00574855699855692,0.10502570346320339,0.0236679711017459,0.08135773236145749
Tyler Stephenson,CIN ,C,0.304,0.27985,0.09459999999999999,0.035436974789915955,0.7640547945205479,0.23132420091324196,0.013598455598455555,0.1095238095238095,0.1223529411764706,0.002259103641456545,0.011890756302521,0.0071428571428571,0.0,0.002320261437908425,0.0017647058823528749,0.00055555555555555
Brandon Lowe,PIT ,2B,0.2862,0.25645,0.08479999999999999,0.039908417337106816,0.7395511921458625,0.25479195885928,0.011058238162024971,0.1167608286252354,0.1350844277673546,0.0018437295101205449,0.00922504531433839,0.007532956685499,0.0,0.00791789511301705,0.0019183768996727,0.00599951821334435
Jonathan Aranda,TB ,1B,0.3146,0.2535,0.0955,0.0373377125315109,0.7571057642374937,0.2319326640124632,0.009640728792104904,0.1180679785330948,0.1305114638447971,0.004760354439584555,0.01607746258909043,0.0071556350626118,0.0,0.003466520707899925,0.0018457638750525,0.0016207568328474252
