#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
137,Anthony Bender,MIA,2,2,4.18,63,0,2,12,,62.2,268,58,31,29,7,23,1,4,56,8.1,3.25,1.29,21.10%,8.50%
138,Grant Anderson,MIL,2,2,4.18,52,0,0,10,,55.1,235,50,28,26,8,19,1,3,55,8.86,3.16,1.26,23.20%,8.30%
139,Luis Garcia,NYM,3,2,4.28,52,0,0,13,,54.1,233,54,28,26,6,18,1,3,45,7.46,2.97,1.32,19.30%,7.70%
140,Luinder Avila,KCR,1,1,3.66,27,0,0,1,,31.1,134,26,14,13,2,14,1,2,31,8.82,3.87,1.27,23.00%,10.10%
141,Richard Lovelady,WSN,1,1,3.8,37,0,0,7,,39,166,36,18,17,3,14,1,2,33,7.67,3.2,1.27,20.10%,8.40%
142,Mason Englert,TBR,2,2,4.35,54,0,0,12,,62.2,266,60,33,30,9,17,1,3,59,8.4,2.5,1.24,22.10%,6.60%
143,Mason Fluharty,TOR,2,1,3.65,36,0,0,1,,36,151,30,16,15,4,14,2,1,37,9.27,3.37,1.2,24.60%,9.00%
144,Will Klein,LAD,2,1,4.1,44,0,0,8,,45.2,200,38,22,21,4,26,1,3,54,10.66,5.12,1.41,27.10%,13.00%
145,Ryan Watson,BOS,2,2,4.2,44,0,0,0,,46,197,43,23,21,6,16,2,2,43,8.45,3.14,1.28,22.00%,8.20%
146,Danny Coulombe,,3,3,4.04,44,0,1,0,,43.1,183,38,21,19,5,16,1,2,44,9.06,3.33,1.25,23.90%,8.80%
147,Yohan Ramirez,PIT,2,1,4.14,46,0,0,10,,50.1,219,45,25,23,5,22,1,5,51,9.16,3.96,1.33,23.40%,10.10%
148,Tony Santillan,CIN,3,2,4.55,66,0,6,13,,66.1,290,61,36,34,9,30,2,4,71,9.55,4.09,1.37,24.30%,10.40%
149,Justin Martinez,ARI,1,1,3.39,23,0,2,1,,24,102,19,10,9,1,12,1,2,27,10.07,4.56,1.32,26.10%,11.80%
150,Calvin Faucher,MIA,2,2,4.57,64,0,6,11,,65.1,287,64,36,33,7,28,2,3,63,8.67,3.87,1.41,22.00%,9.80%
151,Andre Granillo,WSN,1,1,3.99,33,0,2,1,,37.2,161,31,18,17,5,17,1,2,41,9.71,4.04,1.26,25.40%,10.50%
152,Carlos Estevez,KCR,3,2,4.47,63,0,32,2,,64.2,278,62,34,32,9,22,2,3,57,7.89,3.04,1.29,20.40%,7.90%
153,Jordan Leasure,CHW,2,2,4.24,63,0,7,11,,63.2,271,53,32,30,10,27,2,3,71,9.97,3.85,1.25,26.10%,10.10%
154,Brenan Hanifee,DET,2,2,4.15,49,0,0,11,,54.1,232,54,27,25,5,18,1,3,39,6.44,2.91,1.31,16.70%,7.60%
155,Dauri Moreta,,2,2,3.92,27,0,0,0,,27.2,117,23,13,12,4,11,1,1,32,10.47,3.46,1.2,27.70%,9.20%
156,Juan Mejia,COL,3,3,4.72,62,0,3,14,,64.2,287,62,36,34,8,31,3,4,69,9.63,4.31,1.45,24.10%,10.80%
157,Brent Headrick,NYY,2,1,4.12,42,0,0,5,,47,199,42,23,21,7,17,1,2,51,9.7,3.18,1.24,25.40%,8.30%
158,Kade Strowd,ARI,2,2,4.31,56,0,1,12,,57.1,250,55,29,27,6,25,1,3,54,8.51,3.98,1.4,21.70%,10.20%
159,Brady Basso,ATH,2,1,4.1,43,0,0,4,,48.1,205,45,24,22,6,16,1,2,45,8.32,3.08,1.27,21.80%,8.00%
160,Paul Blackburn,NYY,2,3,4.84,47,3,0,12,,64.1,280,66,37,35,9,22,2,3,54,7.57,3.12,1.38,19.30%,8.00%
161,Matt Festa,CLE,2,2,4.43,56,0,0,12,,57.2,248,52,30,28,8,23,1,3,59,9.11,3.54,1.29,23.60%,9.20%
162,Brandon Eisert,CHW,2,2,4.35,53,0,1,6,,55,235,52,29,27,7,18,2,2,53,8.65,3.02,1.29,22.50%,7.90%
163,Colton Gordon,HOU,1,1,4.29,32,1,0,1,,40.2,173,38,21,19,6,13,1,2,38,8.3,2.87,1.26,21.70%,7.50%
164,Max Lazar,PHI,1,1,4.17,32,0,0,1,,35,147,35,17,16,5,8,1,1,29,7.47,2.03,1.21,19.80%,5.40%
165,Brooks Raley,NYM,3,2,4.45,58,0,1,14,,57.1,247,54,30,28,8,21,1,3,58,9.03,3.25,1.31,23.30%,8.40%
