#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
470,Sam Haggerty,TEX,58,189,211,45,31,9,2,3,26,18,17,0,47,2,1,1,11,2,9,0.236,0.306,0.347,0.653,0.297,22.30%,8.30%
471,Alex Freeland,LAD,26,85,97,19,12,4,0,2,11,10,10,0,26,1,1,0,2,1,1,0.218,0.303,0.352,0.655,0.284,27.10%,10.00%
472,Jorbit Vivas,NYY,9,23,26,5,4,1,0,0,3,3,3,0,4,0,0,0,0,0,0,0.222,0.305,0.284,0.589,0.26,15.30%,9.60%
473,Miles Mastrobuoni,SEA,13,40,45,9,7,2,0,0,5,3,4,0,9,0,0,0,1,0,1,0.231,0.306,0.308,0.614,0.288,19.40%,9.60%
474,Jared Serna,MIA,9,33,36,7,6,1,0,0,4,3,2,0,7,0,0,0,1,0,1,0.227,0.283,0.304,0.588,0.272,18.60%,7.00%
475,David Fry,CLE,64,206,230,46,28,9,1,8,25,27,18,1,63,4,2,0,2,0,2,0.221,0.294,0.387,0.682,0.276,27.40%,7.90%
476,Richie Palacios,TBR,45,151,173,34,24,7,1,3,20,15,18,0,35,2,1,1,6,1,5,0.226,0.311,0.338,0.65,0.271,20.10%,10.30%
477,Gavin Sheets,SDP,116,423,468,101,64,21,1,14,48,55,38,1,94,4,4,0,2,1,1,0.238,0.304,0.393,0.698,0.272,20.20%,8.10%
478,Jonatan Clase,TOR,8,27,30,6,4,2,0,0,4,2,2,0,8,0,0,0,2,0,2,0.221,0.285,0.327,0.612,0.304,27.90%,7.80%
479,Michael Arroyo,SEA,7,19,22,4,3,1,0,0,2,2,2,0,5,0,0,0,0,0,0,0.229,0.306,0.359,0.665,0.288,24.20%,7.90%
480,Jose Siri,LAA,11,33,35,7,4,1,0,1,4,4,2,0,13,0,0,0,1,0,1,0.204,0.261,0.387,0.648,0.29,38.00%,6.60%
481,Drew Gilbert,SFG,56,190,212,43,28,9,1,5,23,21,17,0,44,3,1,0,3,1,2,0.224,0.295,0.36,0.655,0.263,20.60%,7.90%
482,Maximo Acosta,MIA,23,77,84,18,12,4,0,2,9,8,6,0,21,1,0,0,3,1,2,0.228,0.289,0.355,0.644,0.286,24.90%,7.10%
483,Korey Lee,CHW,33,98,106,21,15,4,0,3,11,10,6,0,28,1,0,1,1,0,1,0.218,0.264,0.342,0.606,0.275,26.20%,5.30%
484,Nacho Alvarez Jr.,ATL,20,63,69,15,12,2,0,1,8,7,6,0,15,1,0,0,0,0,0,0.24,0.31,0.308,0.618,0.307,22.00%,8.20%
485,Tyler Tolbert,KCR,50,101,113,22,15,5,1,1,13,9,6,0,28,2,1,2,11,1,10,0.214,0.268,0.312,0.58,0.278,25.10%,5.60%
486,Nick Madrigal,LAA,14,50,55,13,10,2,0,0,6,4,3,0,7,1,0,0,1,0,1,0.252,0.311,0.313,0.624,0.286,11.90%,5.30%
487,Blaze Jordan,STL,8,20,22,5,4,1,0,1,2,2,2,0,3,0,0,0,0,0,0,0.263,0.319,0.419,0.738,0.28,14.30%,7.10%
488,Warming Bernabel,WSN,31,101,108,27,19,6,0,2,11,11,5,0,17,1,1,0,1,0,1,0.265,0.3,0.392,0.692,0.297,15.90%,4.30%
489,Jhonny Pereda,SEA,11,31,35,7,5,1,0,0,3,3,3,0,9,0,0,0,0,0,0,0.216,0.29,0.295,0.585,0.287,25.50%,8.90%
490,Justin Dean,CHC,16,23,26,5,4,1,0,0,3,2,2,0,9,0,0,0,3,0,3,0.208,0.276,0.254,0.53,0.319,33.20%,8.20%
491,Max Schuemann,NYY,21,62,70,14,11,2,0,1,8,5,7,0,16,1,0,0,1,0,1,0.218,0.302,0.296,0.598,0.278,22.60%,9.70%
492,Nelson Rada,LAA,19,67,76,16,13,3,0,0,8,5,7,0,18,1,0,1,4,1,3,0.236,0.314,0.3,0.614,0.314,23.40%,8.70%
493,Ronny Mauricio,NYM,42,146,158,34,23,6,0,5,18,16,10,1,40,1,1,0,4,1,3,0.232,0.284,0.372,0.656,0.286,25.40%,6.40%
494,Aidan Miller,PHI,13,47,53,11,7,2,0,1,6,5,5,0,14,1,0,0,3,1,2,0.226,0.312,0.352,0.665,0.297,26.30%,9.60%
495,Bryan Ramos,BAL,12,40,43,9,5,2,0,1,4,4,3,0,11,0,0,0,0,0,0,0.213,0.269,0.358,0.627,0.26,25.40%,6.60%
496,Heriberto Hernandez,MIA,86,304,344,68,42,14,1,11,39,40,33,1,101,4,2,1,3,1,2,0.225,0.307,0.389,0.696,0.296,29.30%,9.70%
497,Jonah Bride,TEX,10,29,33,6,4,2,0,0,3,3,4,0,8,0,0,0,0,0,0,0.216,0.311,0.315,0.626,0.282,24.30%,11.50%
498,Jacob Stallings,BAL,30,91,102,19,13,4,0,2,9,9,8,0,27,2,0,1,1,0,1,0.205,0.28,0.307,0.588,0.273,27.00%,7.60%
499,Hao-Yu Lee,DET,6,18,20,4,3,1,0,0,3,2,2,0,4,0,0,0,0,0,0,0.241,0.304,0.334,0.638,0.297,21.80%,7.80%
500,Victor Mesa Jr.,TBR,11,34,37,8,5,2,0,1,3,4,3,0,7,0,0,0,0,0,0,0.233,0.288,0.359,0.647,0.276,19.90%,6.80%
501,Bryce Eldridge,SFG,102,362,405,84,52,17,0,15,42,51,35,3,122,3,5,0,2,1,1,0.233,0.303,0.409,0.712,0.302,30.20%,8.70%
502,Nick Castellanos,SDP,83,309,334,77,51,15,1,11,38,41,19,0,78,3,3,0,3,1,2,0.249,0.297,0.407,0.704,0.298,23.30%,5.70%
503,Lenyn Sosa,CHW,99,375,399,93,62,16,1,13,40,47,16,0,89,3,3,2,2,1,1,0.247,0.282,0.4,0.682,0.289,22.40%,4.10%
504,Zac Veen,COL,34,115,126,27,18,6,1,3,14,12,9,0,32,1,1,1,4,1,3,0.236,0.296,0.38,0.676,0.298,25.20%,7.10%
