#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
58,Blake Treinen,LAD,5,4,3.94,58,0,1,14,,58.0,250,53,27,25,7,22,,3,65,10.02,3.34,1.28,25.8%,8.6%
59,A.J. Minter,NYM,4,3,3.42,52,0,2,14,,52.0,214,43,22,20,6,18,,1,58,10.09,3.12,1.18,27.2%,8.4%
60,Jimmy Herget,COL,3,3,4.58,77,0,2,15,,77.0,332,78,42,39,11,25,,5,70,8.22,2.88,1.34,21.2%,7.4%
61,Jason Adam,SDP,4,3,3.52,61,0,1,15,,61.0,252,50,26,24,7,23,,5,64,9.50,3.37,1.19,25.6%,9.1%
62,Justin Topa,MIN,3,3,4.03,63,0,6,11,,63.0,272,64,31,28,6,20,,4,52,7.41,2.92,1.34,19.0%,7.5%
63,Carlos Estevez,KCR,4,4,4.17,65,0,31,2,,65.0,273,59,32,30,8,24,,3,58,8.08,3.26,1.27,21.4%,8.6%
64,Bryan King,HOU,4,3,3.67,67,0,1,17,,67.0,280,61,30,27,9,20,,4,66,8.93,2.73,1.21,23.7%,7.2%
65,Troy Melton,DET,4,4,4.09,42,6,0,1,,70.0,296,68,34,32,10,21,,2,62,7.99,2.68,1.27,21.0%,7.0%
66,Caleb Thielbar,CHC,5,3,3.63,66,0,1,15,,66.0,274,58,28,27,9,22,,1,69,9.40,3.01,1.21,25.1%,8.0%
67,Carmen Mlodzinski,PIT,4,4,3.73,53,3,0,4,,68.0,289,65,30,28,7,23,,3,60,8.00,3.04,1.30,20.9%,7.9%
68,Kutter Crawford,BOS,5,5,4.31,56,6,0,4,,86.0,362,82,44,41,13,25,,3,81,8.39,2.59,1.24,22.2%,6.9%
69,Tony Santillan,CIN,3,3,4.27,70,0,4,13,,70.0,302,62,35,33,9,31,,5,73,9.39,4.05,1.34,24.2%,10.4%
70,Sean Newcomb,CHW,3,3,3.93,62,2,2,10,,69.0,299,65,33,30,7,28,,3,66,8.57,3.61,1.34,22.0%,9.3%
71,Yimi Garcia,TOR,3,3,3.82,56,0,4,11,,56.0,235,48,25,24,7,20,,3,61,9.82,3.27,1.22,26.0%,8.6%
72,Justin Wilson,,2,2,3.62,43,0,0,0,,43.0,186,40,19,17,5,16,,1,47,9.79,3.37,1.30,25.1%,8.6%
73,Steven Okert,HOU,3,3,3.85,64,0,0,14,,64.0,266,53,29,27,9,23,,3,73,10.27,3.27,1.20,27.5%,8.8%
74,Kirby Yates,LAA,3,4,3.92,56,0,4,12,,56.0,237,46,27,24,7,26,,3,67,10.70,4.24,1.28,28.1%,11.1%
