#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
52,Robert Suarez,ATL,3,2,4.01,64,0,11,11,,66.1,279,61,32,30,8,21,1,1,67,9.03,2.88,1.23,23.9%,7.6%
53,Robert Stephenson,LAA,2,2,4.08,54,0,9,8,,55.2,233,48,27,25,8,18,1,3,69,11.16,2.85,1.19,29.5%,7.5%
54,Luke Weaver,NYM,3,2,3.79,60,0,5,14,,67.2,280,56,31,28,9,23,1,2,70,9.36,3.00,1.16,25.1%,8.1%
55,Bennett Sousa,HOU,2,1,3.78,47,0,1,4,,49.1,205,43,22,21,6,16,1,1,54,9.95,3.01,1.20,26.5%,8.0%
56,Brant Hurter,DET,2,1,3.67,43,0,0,9,,50.2,215,46,22,21,4,14,2,6,48,8.52,2.56,1.19,22.4%,6.7%
57,Blake Treinen,LAD,3,1,3.90,59,0,1,14,,59.0,248,52,27,26,6,21,1,3,60,9.10,3.17,1.24,24.0%,8.4%
58,Tyler Kinley,ATL,2,2,3.95,60,0,2,13,,60.1,254,51,28,26,7,23,1,2,64,9.50,3.48,1.24,25.0%,9.2%
59,Justin Bruihl,STL,2,1,3.66,48,0,0,10,,48.1,204,43,21,20,4,16,2,5,45,8.45,2.91,1.21,22.3%,7.7%
60,Caleb Thielbar,CHC,3,2,3.83,63,0,2,15,,61.0,253,52,28,26,8,19,1,2,58,8.61,2.76,1.16,23.1%,7.4%
61,Matt Strahm,KCR,3,2,4.06,62,0,2,17,,64.1,268,55,31,29,10,18,1,4,67,9.37,2.49,1.13,25.0%,6.6%
62,Tommy Nance,TOR,2,1,3.73,53,0,0,12,,55.2,233,49,25,23,6,19,1,3,55,8.97,3.07,1.22,23.8%,8.1%
63,Angel Zerpa,MIL,3,2,3.67,58,0,0,12,,60.0,253,56,26,25,5,18,1,4,54,8.11,2.64,1.22,21.4%,7.0%
64,Hunter Gaddis,CLE,2,2,3.85,62,0,4,14,,65.2,274,55,30,28,9,22,1,3,65,8.91,2.99,1.18,23.7%,8.0%
65,Robert Garcia,TEX,3,2,3.86,62,0,17,6,,61.2,258,54,28,26,8,20,2,2,64,9.39,2.89,1.20,24.9%,7.7%
66,Aaron Bummer,ATL,2,1,4.12,56,0,0,12,,60.0,257,56,30,27,5,20,2,7,59,8.81,3.06,1.28,22.8%,7.9%
67,Brendon Little,TOR,3,1,3.12,52,0,0,10,,51.2,216,41,19,18,4,24,1,3,56,9.82,4.24,1.26,26.0%,11.2%
68,Kody Funderburk,MIN,3,2,3.91,59,0,4,15,,62.2,269,58,29,27,5,25,1,4,57,8.13,3.62,1.32,21.1%,9.4%
