#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
33,Jeremy Pena,HOU,133,548,600,149,101,28,2,18,79,65,35,2,106,10,4,3,16,5,11,0.272,0.326,0.43,0.756,0.307,17.60%,5.90%
34,Pete Crow-Armstrong,CHC,121,461,500,116,68,24,3,20,63,68,27,1,117,6,4,1,27,8,19,0.252,0.301,0.451,0.751,0.292,23.50%,5.50%
35,Wyatt Langford,TEX,126,481,559,123,74,25,2,22,78,69,67,3,127,5,4,2,19,6,13,0.256,0.351,0.454,0.805,0.3,22.60%,12.00%
36,Gabriel Moreno,ARI,96,361,407,101,70,19,1,10,48,50,39,2,69,3,3,1,4,1,3,0.28,0.353,0.426,0.78,0.319,17.10%,9.70%
37,Nico Hoerner,CHC,141,533,585,152,114,27,3,8,64,57,38,1,56,8,4,2,24,6,18,0.285,0.339,0.391,0.731,0.304,9.60%,6.50%
38,Willy Adames,SFG,141,543,620,127,76,26,2,24,74,77,67,2,153,4,4,1,11,4,7,0.233,0.32,0.418,0.738,0.277,24.70%,10.90%
39,Manny Machado,SDP,135,538,594,144,91,27,0,26,75,85,48,4,116,3,4,0,9,3,6,0.268,0.329,0.465,0.794,0.295,19.50%,8.10%
40,Matt Chapman,SFG,138,515,593,123,71,27,2,22,71,76,66,1,147,7,4,1,9,3,6,0.238,0.33,0.427,0.756,0.286,24.70%,11.20%
41,Jacob Wilson,ATH,114,436,475,131,92,27,1,11,56,55,28,0,39,6,3,1,5,2,3,0.3,0.348,0.445,0.793,0.307,8.10%,5.90%
42,Matt Olson,ATL,148,563,651,144,82,29,1,31,89,95,78,3,157,5,5,1,1,0,1,0.256,0.349,0.478,0.827,0.298,24.10%,11.90%
43,Carlos Correa,HOU,112,434,486,116,77,23,1,16,59,62,44,1,95,3,3,1,1,0,1,0.268,0.338,0.433,0.77,0.308,19.60%,9.10%
44,Freddie Freeman,LAD,151,576,658,161,101,34,2,24,89,94,69,8,124,9,5,1,7,2,5,0.279,0.362,0.47,0.832,0.316,18.80%,10.50%
45,Patrick Bailey,SFG,104,363,402,82,56,16,2,8,40,38,31,0,105,3,3,2,2,1,1,0.226,0.29,0.346,0.636,0.292,26.00%,7.80%
46,Xander Bogaerts,SDP,125,499,555,135,94,26,1,14,69,56,46,2,96,4,4,2,15,4,11,0.27,0.334,0.407,0.741,0.308,17.30%,8.20%
