#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
207,Jordan Lawlar,ARI,99,380,427,90,56,22,3,9,51,46,37,1,111,6,3,2,15,4,11,0.237,0.312,0.382,0.694,0.308,26.00%,8.70%
208,Agustin Ramirez,MIA,117,434,478,106,63,24,1,18,60,62,36,1,94,5,3,0,12,3,9,0.244,0.307,0.426,0.733,0.27,19.60%,7.40%
209,Jose Trevino,CIN,71,261,282,63,44,12,1,7,28,29,16,0,42,2,2,1,1,0,1,0.24,0.286,0.367,0.652,0.262,15.00%,5.60%
210,Jesus Sanchez,TOR,97,379,420,93,58,19,2,15,51,52,36,1,102,3,2,0,9,2,7,0.246,0.313,0.424,0.738,0.295,24.30%,8.50%
211,Bryan Reynolds,PIT,149,576,644,146,94,30,3,19,73,76,56,2,158,8,4,0,5,2,3,0.253,0.325,0.414,0.739,0.313,24.50%,8.70%
212,Josh Lowe,LAA,115,451,497,113,71,25,2,15,59,56,39,2,133,3,3,1,21,4,17,0.251,0.312,0.416,0.729,0.32,26.90%,7.90%
213,Yoan Moncada,LAA,99,380,427,91,56,19,2,14,48,51,39,1,117,5,2,0,1,0,1,0.239,0.318,0.407,0.725,0.307,27.30%,9.20%
214,Nolan Gorman,STL,123,472,532,104,60,19,0,24,63,70,54,1,171,2,4,0,4,1,3,0.22,0.3,0.415,0.716,0.285,32.10%,10.10%
215,Jo Adell,LAA,139,547,602,129,71,24,1,32,72,93,41,1,162,9,3,1,9,4,5,0.235,0.298,0.462,0.76,0.27,26.90%,6.90%
216,Cedric Mullins,TBR,110,424,476,95,60,20,1,14,56,54,43,0,108,4,4,2,20,5,15,0.225,0.3,0.38,0.68,0.265,22.70%,9.00%
217,Carson Williams,TBR,100,390,434,81,49,14,3,16,52,51,36,0,150,4,2,2,12,5,7,0.209,0.282,0.378,0.66,0.292,34.60%,8.40%
218,Denzel Clarke,ATH,97,377,420,86,55,18,4,9,50,44,33,0,139,7,2,2,14,3,11,0.229,0.301,0.369,0.67,0.335,33.20%,7.80%
219,Joc Pederson,TEX,100,372,434,88,52,15,1,19,54,55,50,2,100,9,3,0,3,1,2,0.236,0.338,0.435,0.773,0.27,23.00%,11.50%
220,Danny Jansen,TEX,89,305,352,65,37,14,0,14,41,42,38,0,83,5,2,1,1,0,1,0.213,0.309,0.395,0.705,0.243,23.60%,10.90%
221,Kyle Isbel,KCR,113,445,490,108,74,20,5,9,58,48,31,0,96,5,4,6,9,4,5,0.243,0.296,0.371,0.667,0.289,19.50%,6.30%
222,Nathan Lukes,TOR,68,264,294,71,50,14,1,6,35,34,24,1,46,2,2,2,3,1,2,0.27,0.334,0.405,0.739,0.304,15.70%,8.20%
223,Tyler O'Neill,BAL,91,344,392,81,48,14,1,19,51,53,40,2,111,4,3,0,5,1,4,0.235,0.32,0.443,0.763,0.286,28.40%,10.20%
224,Jonathan India,KCR,128,478,553,116,77,26,1,12,65,52,57,0,105,13,4,1,5,2,3,0.243,0.338,0.378,0.715,0.287,19.10%,10.30%
225,Isaac Collins,KCR,104,384,448,91,59,20,3,9,54,48,54,1,97,6,3,2,15,5,10,0.237,0.337,0.375,0.712,0.291,21.70%,12.00%
226,Jake Burger,TEX,136,542,588,131,77,26,1,27,69,83,32,1,145,9,5,1,2,1,1,0.242,0.293,0.444,0.737,0.278,24.70%,5.40%
227,Victor Caratini,MIN,97,356,400,90,65,14,0,10,40,44,31,0,70,9,4,1,1,0,1,0.252,0.324,0.38,0.704,0.284,17.40%,7.60%
228,Luis Torrens,NYM,55,199,218,49,33,10,1,5,21,24,14,0,49,2,2,1,1,1,0,0.244,0.298,0.382,0.68,0.294,22.30%,6.50%
229,Brooks Baldwin,CHW,92,364,399,92,61,16,1,13,45,49,27,0,90,2,2,3,8,2,6,0.251,0.305,0.413,0.718,0.297,22.60%,6.80%
230,Kyle Higashioka,TEX,71,261,283,59,36,12,1,10,29,35,17,0,70,1,3,1,2,0,2,0.227,0.275,0.397,0.673,0.266,24.60%,6.00%
231,Josh Bell,MIN,133,504,574,127,83,23,1,20,63,70,61,1,107,5,4,0,1,2,-1,0.252,0.336,0.42,0.756,0.281,18.60%,10.70%
232,Willi Castro,COL,126,485,546,124,82,24,5,13,68,55,43,1,122,13,3,1,15,5,10,0.256,0.332,0.408,0.74,0.315,22.40%,7.90%
233,Ramon Urias,STL,76,298,329,74,50,14,1,9,35,36,24,0,75,4,3,1,2,0,2,0.248,0.309,0.393,0.701,0.298,22.90%,7.30%
234,Jacob Young,WSN,81,315,350,79,61,13,2,3,40,30,24,0,63,5,2,4,18,5,13,0.251,0.313,0.332,0.645,0.304,18.10%,6.90%
235,Tyler Stephenson,CIN,112,398,450,93,58,19,1,14,50,53,44,1,126,5,3,0,1,1,0,0.234,0.316,0.395,0.71,0.302,27.90%,9.80%
236,Mark Vientos,NYM,102,401,441,100,61,18,1,20,52,63,32,0,115,5,3,0,1,0,1,0.25,0.311,0.45,0.76,0.299,26.00%,7.20%
237,Nick Fortes,TBR,79,285,314,65,46,11,0,8,33,32,19,0,55,6,2,2,2,1,1,0.228,0.287,0.353,0.64,0.255,17.40%,6.00%
238,Christian Moore,LAA,104,400,448,92,62,15,4,12,50,48,40,1,137,3,3,1,8,2,6,0.229,0.302,0.371,0.673,0.315,30.60%,9.00%
239,Edouard Julien,COL,100,369,434,92,62,17,2,11,50,43,57,1,123,4,2,1,5,2,3,0.249,0.354,0.395,0.749,0.341,28.30%,13.10%
240,Jake Mangum,PIT,79,321,343,90,67,19,2,3,34,33,16,0,57,3,2,1,13,4,9,0.282,0.321,0.378,0.699,0.333,16.60%,4.80%
241,Blaze Alexander,BAL,68,259,294,60,40,12,1,7,31,32,25,0,88,7,2,1,5,3,2,0.232,0.315,0.366,0.68,0.321,29.90%,8.60%
242,Jake Rogers,DET,45,161,179,34,20,7,1,6,21,21,15,0,52,1,1,1,1,0,1,0.213,0.283,0.376,0.66,0.274,29.20%,8.20%
243,Victor Robles,SEA,81,311,350,76,53,16,1,6,40,34,23,0,76,9,3,4,18,5,13,0.245,0.314,0.365,0.679,0.303,21.70%,6.60%
244,Joey Bart,PIT,76,263,301,63,44,11,0,7,32,31,30,0,84,6,2,1,1,1,0,0.238,0.327,0.368,0.695,0.319,27.90%,9.90%
245,Cam Smith,HOU,104,401,448,97,65,18,3,11,52,48,38,0,116,6,3,1,7,1,6,0.243,0.315,0.383,0.698,0.312,25.90%,8.40%
246,Gabriel Arias,CLE,102,405,441,93,59,19,2,12,44,47,27,1,136,5,3,1,8,4,4,0.229,0.284,0.378,0.662,0.31,30.80%,6.10%
247,Lourdes Gurriel Jr.,ARI,109,433,469,115,76,22,2,15,52,61,27,1,75,5,4,0,7,2,5,0.266,0.314,0.428,0.742,0.289,15.90%,5.80%
248,Marcelo Mayer,BOS,94,370,406,91,57,21,2,11,49,47,29,1,94,3,3,1,4,2,2,0.245,0.302,0.401,0.703,0.296,23.10%,7.20%
249,Colt Emerson,SEA,76,291,329,67,46,14,2,6,35,33,29,1,72,6,3,1,5,2,3,0.228,0.307,0.344,0.652,0.282,22.00%,8.70%
250,Miguel Amaya,CHC,71,254,284,61,40,12,1,8,30,34,20,0,60,5,2,2,1,0,1,0.24,0.307,0.388,0.696,0.281,21.10%,7.20%
251,Wenceel Perez,DET,109,423,469,102,65,20,5,12,55,54,38,0,101,3,4,1,10,4,6,0.24,0.305,0.396,0.701,0.285,21.60%,8.00%
252,Owen Caissie,MIA,96,365,413,88,54,19,2,13,48,48,41,1,128,3,3,1,4,2,2,0.24,0.32,0.406,0.726,0.33,31.00%,9.90%
253,Trevor Larnach,MIN,99,377,427,94,61,18,1,13,50,49,43,1,100,3,4,1,3,2,1,0.249,0.327,0.41,0.737,0.3,23.40%,10.10%
254,Max Muncy,ATH,73,286,315,69,45,15,1,9,34,39,19,1,88,5,2,1,3,2,1,0.243,0.301,0.393,0.694,0.316,27.80%,6.20%
255,Logan O'Hoppe,LAA,112,406,445,94,61,13,1,19,47,54,31,0,124,5,2,1,2,2,0,0.232,0.292,0.409,0.702,0.284,28.00%,6.90%
256,Austin Martin,MIN,81,302,350,77,57,16,1,3,40,30,39,0,58,5,2,2,12,4,8,0.254,0.346,0.345,0.692,0.302,16.70%,11.00%
257,Romy Gonzalez,BOS,60,240,259,64,42,13,2,7,31,34,14,1,64,2,2,0,6,3,3,0.268,0.312,0.433,0.744,0.334,24.60%,5.30%
258,Mickey Moniak,COL,113,458,490,122,72,22,6,21,65,68,24,1,120,4,3,1,9,4,5,0.266,0.308,0.481,0.789,0.315,24.60%,5.00%
259,Brady House,WSN,122,492,525,120,83,22,1,14,55,61,24,1,142,4,4,1,5,2,3,0.245,0.283,0.381,0.664,0.312,27.10%,4.60%
260,Jose Caballero,NYY,73,273,315,60,41,13,1,6,38,30,32,0,80,6,2,2,31,8,23,0.22,0.313,0.334,0.648,0.287,25.30%,10.20%
261,Henry Davis,PIT,71,250,282,56,35,12,1,8,31,30,23,1,73,6,2,1,4,1,3,0.224,0.302,0.373,0.675,0.279,25.80%,8.10%
262,Luis Rengifo,MIL,100,399,434,100,72,16,3,9,45,45,28,0,79,4,2,1,10,4,6,0.251,0.304,0.375,0.68,0.29,18.10%,6.40%
263,Austin Hays,CHW,112,441,483,108,67,23,3,16,58,56,33,1,121,5,4,1,6,1,5,0.246,0.302,0.418,0.719,0.3,25.00%,6.70%
264,Jake McCarthy,COL,83,322,357,88,63,15,4,6,44,37,24,0,59,6,2,2,14,3,11,0.275,0.336,0.405,0.741,0.318,16.60%,6.90%
265,Joe Mack,MIA,66,238,263,52,33,10,1,8,29,30,20,0,73,3,2,0,2,1,1,0.219,0.285,0.368,0.652,0.279,27.90%,7.40%
266,Edmundo Sosa,PHI,57,227,245,57,37,12,2,7,28,30,9,0,56,5,2,1,3,1,2,0.253,0.296,0.414,0.711,0.302,22.80%,3.90%
267,Dominic Canzone,SEA,99,390,427,95,60,18,1,17,50,54,31,2,98,3,3,1,4,2,2,0.245,0.304,0.423,0.727,0.284,22.90%,7.30%
268,Luisangel Acuna,CHW,92,368,399,92,70,16,2,5,47,34,24,0,73,2,3,2,21,6,15,0.251,0.299,0.34,0.639,0.3,18.40%,6.10%
269,Zach Cole,HOU,100,387,434,84,48,17,4,15,50,54,38,2,171,6,2,1,11,4,7,0.216,0.294,0.395,0.689,0.338,39.40%,8.70%
270,Dalton Rushing,LAD,42,146,168,33,20,7,0,6,21,22,18,0,47,3,1,0,1,0,1,0.228,0.323,0.411,0.733,0.286,27.70%,10.50%
271,Sung-Mun Song,SDP,68,267,294,65,46,11,1,6,32,29,23,2,50,1,2,1,6,1,5,0.243,0.304,0.364,0.668,0.276,17.00%,7.90%
272,Jose Tena,WSN,73,288,315,73,51,15,2,5,33,32,22,0,80,2,2,1,9,3,6,0.253,0.308,0.373,0.68,0.329,25.30%,7.00%
273,Hunter Feduccia,TBR,66,229,262,51,34,10,1,5,28,24,30,0,69,1,2,0,1,0,1,0.222,0.312,0.348,0.661,0.29,26.10%,11.40%
274,Luis Campusano,SDP,53,191,215,47,32,8,0,7,26,26,21,0,43,2,1,0,1,0,1,0.247,0.324,0.399,0.724,0.284,20.00%,9.70%
275,Tyler Heineman,TOR,39,133,154,30,22,5,1,2,16,14,13,0,31,3,1,2,2,1,1,0.224,0.309,0.328,0.636,0.272,20.30%,8.70%
276,Giancarlo Stanton,NYY,96,367,413,83,45,13,0,24,48,65,40,2,127,2,3,0,0,0,0,0.225,0.303,0.458,0.762,0.267,30.80%,9.70%
277,Harry Ford,WSN,58,205,238,47,33,9,0,5,28,24,27,0,53,4,1,0,4,2,2,0.232,0.331,0.355,0.685,0.287,22.50%,11.30%
278,Matt Shaw,CHC,58,223,252,54,35,10,2,8,32,30,23,0,49,3,2,1,9,3,6,0.244,0.321,0.408,0.729,0.278,19.60%,9.30%
279,Travis Bazzana,CLE,55,206,238,45,29,9,1,5,30,24,27,0,69,3,1,1,4,1,3,0.217,0.315,0.348,0.663,0.298,29.00%,11.30%
280,Colby Thomas,ATH,60,237,259,57,33,14,1,9,31,36,15,0,78,5,2,1,4,2,2,0.242,0.298,0.428,0.726,0.316,30.00%,5.80%
281,Alek Thomas,ARI,91,361,392,88,59,17,3,9,45,42,21,0,89,3,3,3,7,2,5,0.243,0.289,0.382,0.672,0.296,22.80%,5.50%
282,Vaughn Grissom,LAA,60,233,259,58,41,11,1,5,30,26,20,0,50,4,2,0,4,1,3,0.25,0.316,0.373,0.689,0.294,19.30%,7.60%
283,Jorge Soler,LAA,117,442,504,100,57,21,0,22,59,62,52,1,138,6,4,1,1,0,1,0.226,0.313,0.423,0.736,0.273,27.40%,10.30%
284,Paul Goldschmidt,NYY,89,346,385,88,58,18,0,12,47,45,34,2,87,2,2,0,4,1,3,0.256,0.325,0.412,0.737,0.308,22.60%,8.80%
285,Chandler Simpson,TBR,105,422,455,121,102,15,3,1,55,37,26,0,48,1,3,4,41,10,31,0.287,0.328,0.345,0.672,0.32,10.60%,5.70%
286,Jesse Winker,,71,259,308,62,42,11,1,8,35,33,42,1,67,4,2,1,4,1,3,0.239,0.352,0.385,0.736,0.29,21.60%,13.50%
287,Tyler Freeman,COL,83,313,357,86,63,16,2,5,45,34,28,0,45,12,2,2,13,4,9,0.274,0.354,0.386,0.74,0.304,12.50%,7.80%
288,Jose Fermin,STL,45,168,196,41,27,10,0,4,23,20,22,0,23,4,1,1,6,2,4,0.242,0.34,0.365,0.705,0.261,11.90%,11.00%
289,Austin Hedges,CLE,36,125,141,24,17,4,0,3,12,12,11,0,38,1,1,2,1,1,0,0.191,0.264,0.299,0.562,0.242,26.60%,8.00%
290,CJ Kayfus,CLE,57,217,245,53,32,11,2,7,28,29,22,0,67,3,2,1,3,1,2,0.243,0.321,0.411,0.732,0.318,27.50%,9.00%
