#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
11,Matt Olson,ATL,157,583.1075110456553,685.0,113.99852724594993,0.22533136966126657,0.7168141592920354,0.2654867256637168,0.008849557522123894,0.05891016200294551,0.15022091310751104,0.17378497790868921,0.1325478645066274,0.010309278350515464,0.2238586156111929,0.008836524300441826,0.007363770250368188,0.0014727540500736377,0.0014727540500736377,0.0014727540500736377,0.0,0.264,0.366715758,0.525951557,0.892667316,0.289002558,22.38586156,13.25478645,600,685,119,0.21605839416058395,0.680672268907563,0.31092436974789917,0.008403361344537815,0.042335766423357665,0.11386861313868613,0.14306569343065692,0.10364963503649635,0.0072992700729927005,0.24817518248175183,0.013138686131386862,0.0072992700729927005,0.0,0.0,0.0,0.0,0.247,0.333,0.457,0.79,0.293,24.8,10.4
12,Nathaniel Lowe,TEX,157,500.9278350515464,565.0,117.32695139911637,0.24300441826215025,0.7801418439539319,0.20567375886524825,0.014184397163120567,0.035346097201767304,0.11929307805596465,0.12960235640648013,0.10162002945508102,0.0029455081001472758,0.2268041237113402,0.0058910162002945516,0.004418262150220913,0.0014727540500736377,0.004418262150220913,0.0014727540500736377,0.0029455081001472758,0.274,0.351032448,0.448504983,0.799537432,0.330210773,22.68041237,10.16200295,486,565,113,0.22831858407079647,0.8495575221238938,0.1415929203539823,0.008849557522123894,0.02831858407079646,0.10973451327433628,0.12212389380530973,0.1256637168141593,0.0017699115044247787,0.22123893805309736,0.007079646017699115,0.007079646017699115,0.0,0.0035398230088495575,0.0,0.0035398230088495575,0.265,0.361,0.401,0.762,0.324,22.1,12.6
13,Fernando Tatis Jr.,SDP,156,388.4642857142857,438.0,82.12500000000001,0.24255952380952384,0.7063492063492062,0.26984126984126977,0.015873015873015872,0.055059523809523815,0.1607142857142857,0.1488095238095238,0.09523809523809526,0.0014880952380952382,0.22023809523809526,0.007440476190476192,0.005952380952380953,0.004464285714285714,0.041666666666666664,0.008928571428571428,0.03273809523809524,0.273,0.346786248,0.521812081,0.868598329,0.303614458,22.02380952,9.523809524,398,438,89,0.2511415525114155,0.7528089887640449,0.23595505617977527,0.011235955056179775,0.04794520547945205,0.1461187214611872,0.11187214611872145,0.0730593607305936,0.0,0.2191780821917808,0.01598173515981735,0.00228310502283105,0.0,0.02511415525114155,0.00684931506849315,0.0182648401826484,0.276,0.34,0.492,0.833,0.316,21.9,7.3
14,Julio Rodriguez,SEA,156,553.7068452380952,613.0,124.05952380952381,0.25148809523809523,0.75,0.24264705882352938,0.014705882352941175,0.049107142857142856,0.15029761904761907,0.14732142857142858,0.07440476190476189,0.007440476190476191,0.2306547619047619,0.014880952381729201,0.004464285714285714,0.0029761904761904756,0.049107142857142856,0.014880952381729201,0.03422619047619048,0.278,0.341791045,0.504118616,0.845909661,0.322274882,23.06547619,7.44047619,567,613,135,0.2528548123980424,0.8740740740740741,0.1259259259259259,0.0,0.03262642740619902,0.12398042414355628,0.11092985318107668,0.06199021207177814,0.0016313213703099511,0.2544861337683524,0.009787928221859706,0.0032626427406199023,0.0,0.03915171288743882,0.008156606851549755,0.03099510603588907,0.273,0.325,0.409,0.734,0.344,25.4,6.2
15,Francisco Lindor,NYM,156,606.9761904761905,689.0,127.13690476190477,0.22321428571428573,0.7499999999999998,0.22580645161290322,0.024193548387096774,0.038690476190476185,0.13690476190476192,0.13541666666666663,0.09523809523809525,0.0029761904761904765,0.19196428571428573,0.013392857142857142,0.008928571428571428,0.0014880952380952382,0.03125,0.00744047619047619,0.02380952380952381,0.253,0.332339791,0.442567568,0.774907359,0.279909707,19.19642857,9.523809524,618,689,136,0.24528301886792453,0.7058823529411765,0.2867647058823529,0.007352941176470588,0.047895500725689405,0.15529753265602322,0.1320754716981132,0.08127721335268505,0.0,0.18432510885341075,0.01741654571843251,0.0043541364296081275,0.0,0.0420899854862119,0.005805515239477504,0.036284470246734396,0.273,0.344,0.5,0.844,0.295,18.4,8.1
16,Bobby Witt Jr.,KCR,156,649.9166666666666,709.0,149.81845238095238,0.25297619047619047,0.7112676056338028,0.23943661971830987,0.04929577464788732,0.041666666666666664,0.14732142857142855,0.14136904761904762,0.0625,0.0014880952380952376,0.18154761904761904,0.008928571428571428,0.008928571428571428,0.004464285714285714,0.05803571428571428,0.017857142857142856,0.040178571428571425,0.277,0.325373134,0.49025974,0.815632875,0.300847458,18.1547619,6.25,636,709,179,0.29760225669957685,0.6871508379888268,0.25139664804469275,0.061452513966480445,0.045133991537376586,0.1763046544428773,0.153737658674189,0.08039492242595205,0.012693935119887164,0.14950634696755993,0.011283497884344146,0.011283497884344146,0.0,0.04372355430183357,0.01692524682651622,0.02679830747531735,0.332,0.389,0.588,0.977,0.354,15.0,8.0
17,Nolan Arenado,STL,156,576.4136904761905,635.0,127.56696428571428,0.24107142857142858,0.7333333333333334,0.25925925925925924,0.014814814814814815,0.04017857142857143,0.11755952380952381,0.150297619047619,0.07589285714285714,0.00744047619047619,0.150297619047619,0.008928571428571428,0.00744047619047619,0.0,0.005952380952380952,0.002976190476190476,0.002976190476190476,0.266,0.325892857,0.463934426,0.789827283,0.277207392,15.0297619,7.589285714,578,635,141,0.247244094488189,0.8368794326241135,0.16312056737588654,0.0,0.025196850393700787,0.11023622047244094,0.11181102362204724,0.06929133858267716,0.0031496062992125984,0.14488188976377953,0.007874015748031496,0.011023622047244094,0.0,0.0031496062992125984,0.0031496062992125984,0.0,0.272,0.325,0.394,0.719,0.296,14.5,6.9
18,Pete Alonso,NYM,156,603.9880952380952,695.0,106.5252976190476,0.21428571428571427,0.7475728155339807,0.24271844660194178,0.00970873786407767,0.06101190476190476,0.1369047619047619,0.17113095238095238,0.10119047619047619,0.011904761904761904,0.21577380952380953,0.022321428571428572,0.007440476190476191,0.0,0.005952380952380952,0.001488095238095238,0.004464285714285714,0.247,0.337797619,0.503424658,0.841222277,0.255583127,21.57738095,10.11904762,608,695,112,0.21007194244604316,0.7232142857142857,0.2767857142857143,0.0,0.04892086330935252,0.13093525179856116,0.12661870503597122,0.10071942446043165,0.0057553956834532375,0.2474820143884892,0.01870503597122302,0.0057553956834532375,0.0,0.004316546762589928,0.0,0.004316546762589928,0.24,0.329,0.459,0.788,0.276,24.7,10.1
19,Paul Goldschmidt,STL,156,566.4107142857142,654.0,126.51785714285712,0.23214285714285712,0.7461538461538463,0.2461538461538462,0.0,0.038690476190476185,0.13839285714285712,0.13392857142857142,0.11755952380952381,0.005952380952380952,0.22916666666666666,0.005952380952380952,0.007440476190476191,0.0029761904761904773,0.011904761904761904,0.0029761904761904773,0.008928571428571428,0.268,0.356716418,0.45532646,0.812042878,0.319410319,22.91666667,11.75595238,599,654,125,0.22477064220183487,0.728,0.264,0.008,0.03363914373088685,0.10703363914373089,0.09938837920489296,0.07186544342507645,0.0030581039755351682,0.26452599388379205,0.0030581039755351682,0.0030581039755351682,0.0,0.016819571865443424,0.0,0.016819571865443424,0.245,0.302,0.414,0.716,0.308,26.5,7.2
20,Jose Ramirez,CLE,154,597.9037593984962,682.0,139.4766917293233,0.2451127819548872,0.6911764705882353,0.27941176470588236,0.029411764705882353,0.04060150375939849,0.1398496240601504,0.1458646616568915,0.10676691729323307,0.02556390977443609,0.12030075187969924,0.007518796992668621,0.009022556390977442,0.0015037593984962405,0.03458646616541353,0.009022556390977442,0.02556390977443609,0.28,0.359398496,0.497427101,0.856825597,0.282157676,12.03007519,10.67669173,620,682,134,0.2536656891495601,0.6940298507462687,0.291044776119403,0.014925373134328358,0.05718475073313783,0.16715542521994134,0.17302052785923755,0.07917888563049853,0.017595307917888565,0.12023460410557185,0.001466275659824047,0.008797653958944282,0.0,0.060117302052785926,0.010263929618768328,0.04985337243401759,0.279,0.335,0.537,0.872,0.265,12.0,7.9
