#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
39,Matthew Boyd,CHC,10,9,4.29,27,27,0,0,,158.2,668,152,81,76,23,42,0,8,143,8.10,2.37,1.22,21.4%,6.3%,12
40,Bubba Chandler,PIT,8,10,4.10,30,25,0,1,,140.2,594,128,68,64,18,46,1,7,140,8.95,2.97,1.24,23.5%,7.8%,7
41,David Peterson,NYM,10,9,4.02,28,28,0,0,,160.1,682,154,77,72,16,57,1,6,137,7.70,3.18,1.31,20.1%,8.3%,12
42,Edward Cabrera,CHC,9,8,3.78,25,25,0,0,,135.2,565,112,61,57,15,51,0,7,143,9.49,3.38,1.20,25.3%,9.0%,10
43,Quinn Priester,MIL,10,10,4.11,28,28,0,0,,166.1,702,163,81,76,19,50,0,6,134,7.22,2.71,1.28,19.0%,7.1%,13
44,Brandon Woodruff,MIL,9,9,4.19,25,25,0,0,,143.2,601,131,72,67,22,40,0,5,144,9.03,2.51,1.19,24.0%,6.7%,11
45,Merrill Kelly,ARI,10,10,4.37,28,28,0,0,,170.0,717,164,88,83,23,51,1,4,149,7.88,2.71,1.27,20.8%,7.1%,14
46,Trey Yesavage,TOR,9,8,3.77,30,25,0,1,,136.0,565,110,61,57,19,50,1,6,155,10.22,3.29,1.17,27.4%,8.8%,6
47,Spencer Strider,ATL,9,9,4.43,26,26,0,0,,153.0,653,140,80,75,21,57,1,7,162,9.52,3.37,1.29,24.7%,8.7%,12
48,Jacob Misiorowski,MIL,9,9,3.86,32,25,0,1,,139.1,591,110,64,60,17,65,1,8,167,10.83,4.18,1.25,28.3%,10.9%,5
49,Drew Rasmussen,TBR,9,10,4.24,29,29,0,0,,153.2,645,148,78,72,22,43,1,5,135,7.92,2.53,1.24,21.0%,6.7%,11
50,Cody Ponce,TOR,8,8,4.05,34,22,0,1,,137.2,579,121,66,62,20,46,1,7,159,10.37,3.02,1.22,27.4%,8.0%,3
51,Gavin Williams,CLE,9,11,4.17,29,29,0,0,,163.2,701,145,81,76,20,72,0,6,165,9.06,3.98,1.33,23.5%,10.3%,12
52,Luis Castillo,SEA,11,10,4.50,29,29,0,0,,176.2,748,168,94,88,28,53,1,8,156,7.95,2.68,1.25,20.9%,7.0%,14
53,Mitch Keller,PIT,10,12,4.75,30,30,0,0,,177.1,764,181,100,94,24,56,0,8,149,7.56,2.84,1.34,19.5%,7.3%,14
54,Cade Horton,CHC,8,8,4.06,23,23,0,0,,126.2,532,118,61,57,15,40,0,4,112,7.94,2.83,1.25,21.0%,7.5%,9
55,Jose Soriano,LAA,10,10,3.79,29,29,0,0,,168.1,720,158,76,71,14,71,1,8,137,7.32,3.79,1.36,19.0%,9.8%,12
56,Zac Gallen,ARI,10,11,4.43,29,29,0,0,,178.1,762,172,94,88,24,62,1,5,156,7.88,3.12,1.31,20.5%,8.1%,15
57,Carlos Rodon,NYY,10,8,4.08,24,24,0,0,,145.2,611,124,71,66,20,53,0,6,152,9.40,3.27,1.22,24.9%,8.7%,11
58,Reynaldo Lopez,ATL,7,8,4.32,28,22,0,1,,125.2,535,116,64,60,15,47,1,4,128,9.15,3.38,1.30,23.9%,8.8%,5
59,Zebby Matthews,MIN,7,9,4.13,31,22,0,1,,126.1,529,122,62,58,18,31,1,3,124,8.85,2.23,1.21,23.5%,5.9%,3
60,Sean Manaea,NYM,7,9,4.18,33,22,0,1,,130.2,549,116,65,61,21,39,1,9,146,10.03,2.67,1.18,26.5%,7.1%,3
61,Kyle Bradish,BAL,9,8,4.01,24,24,0,0,,134.0,566,119,64,60,17,47,0,7,140,9.42,3.16,1.24,24.8%,8.3%,10
62,Ryne Nelson,ARI,9,11,4.34,32,27,0,1,,159.0,671,152,82,77,23,45,1,4,134,7.59,2.53,1.24,20.0%,6.7%,9
63,Tyler Glasnow,LAD,9,7,4.19,23,23,0,0,,132.1,561,116,66,62,17,53,0,3,143,9.73,3.63,1.28,25.5%,9.5%,10
64,Andrew Abbott,CIN,9,11,4.66,28,28,0,0,,163.2,696,163,90,85,27,48,1,3,146,8.02,2.62,1.29,20.9%,6.9%,13
65,Matthew Liberatore,STL,8,11,4.52,27,27,0,0,,147.0,625,149,79,74,19,40,0,5,117,7.16,2.45,1.29,18.7%,6.4%,11
66,Grayson Rodriguez,LAA,7,8,4.02,21,21,0,0,,119.0,500,109,57,53,16,37,0,5,123,9.30,2.83,1.23,24.6%,7.5%,9
67,Trevor Rogers,BAL,9,8,4.21,25,25,0,0,,146.0,611,136,73,68,22,42,1,4,133,8.19,2.56,1.21,21.8%,6.8%,11
68,Cam Schlittler,NYY,9,7,4.05,23,23,0,0,,130.2,551,115,63,59,17,49,0,6,131,9.04,3.35,1.25,23.8%,8.8%,9
69,Brandon Pfaadt,ARI,9,10,4.66,28,28,0,0,,163.2,698,170,91,85,24,41,1,7,133,7.30,2.24,1.29,19.0%,5.8%,13
70,Chad Patrick,MIL,8,8,4.18,24,24,0,0,,128.1,539,116,64,60,19,39,0,5,120,8.43,2.76,1.21,22.3%,7.3%,9
71,Landen Roupp,SFG,7,9,4.08,27,22,0,1,,119.2,513,113,58,54,12,48,1,4,113,8.48,3.63,1.34,22.0%,9.4%,5
72,Shane McClanahan,TBR,7,7,4.03,20,20,0,0,,117.2,492,110,57,53,17,34,0,3,121,9.26,2.59,1.22,24.6%,6.9%,9
73,Sandy Alcantara,MIA,9,11,4.58,28,28,0,0,,176.1,753,176,96,90,23,55,1,8,135,6.88,2.79,1.31,17.9%,7.3%,15
74,Joe Musgrove,SDP,9,8,4.18,24,24,0,0,,138.0,579,128,68,64,20,37,1,8,127,8.31,2.41,1.20,22.0%,6.4%,11
75,Michael McGreevy,STL,8,10,4.30,29,24,0,1,,144.0,610,151,73,69,17,36,1,3,99,6.19,2.22,1.29,16.3%,5.8%,8
76,Aaron Nola,PHI,10,10,4.49,28,28,0,0,,168.0,707,158,90,84,29,48,0,6,155,8.31,2.59,1.23,21.9%,6.9%,14
77,Noah Cameron,KCR,9,9,4.43,25,25,0,0,,146.2,624,144,77,72,22,44,0,4,126,7.75,2.72,1.29,20.3%,7.1%,11
78,Jack Leiter,TEX,9,11,4.41,29,29,0,0,,163.0,695,145,85,80,24,65,0,7,155,8.59,3.58,1.29,22.4%,9.3%,12
79,Chris Bassitt,BAL,11,11,4.54,33,29,0,1,,168.1,728,166,91,85,22,57,1,14,147,7.87,3.06,1.33,20.2%,7.9%,11
80,Ryan Pepiot,TBR,10,11,4.38,30,30,0,0,,169.0,715,149,88,82,27,64,0,6,162,8.63,3.43,1.26,22.6%,9.0%,13
81,Braxton Garrett,MIA,6,8,4.13,27,20,0,1,,115.1,484,114,57,53,14,28,1,5,104,8.11,2.16,1.23,21.5%,5.7%,4
82,Parker Messick,CLE,8,9,4.08,22,22,0,0,,117.1,495,111,57,53,15,35,0,6,109,8.38,2.69,1.24,22.1%,7.1%,8
83,Shane Smith,CHW,9,11,4.39,28,28,0,0,,156.1,668,147,82,76,21,55,0,9,144,8.29,3.16,1.29,21.6%,8.2%,12
84,Reid Detmers,LAA,6,10,4.36,33,23,0,1,,133.1,569,122,69,65,20,48,2,7,149,10.02,3.25,1.28,26.1%,8.5%,3
85,Dustin May,STL,7,10,4.44,29,23,0,1,,137.2,593,131,72,68,14,51,1,10,119,7.78,3.37,1.32,20.1%,8.7%,7
86,Cade Cavalli,WSN,7,10,4.30,24,24,0,0,,132.2,568,131,68,63,14,45,0,7,105,7.12,3.03,1.32,18.5%,7.9%,10
87,Tatsuya Imai,HOU,9,9,4.34,27,27,0,0,,155.0,664,137,80,75,22,65,0,9,157,9.14,3.79,1.30,23.7%,9.8%,12
88,Robbie Ray,SFG,10,11,4.50,29,29,0,0,,171.1,728,153,92,86,30,66,0,5,177,9.30,3.46,1.27,24.3%,9.1%,14
89,Clay Holmes,NYM,11,10,4.03,28,27,0,0,,144.0,616,138,69,65,14,53,0,8,113,7.07,3.31,1.32,18.4%,8.6%,9
90,Ryan Weathers,NYY,7,8,4.05,33,21,0,1,,126.1,532,116,61,57,17,40,2,6,123,8.74,2.83,1.23,23.1%,7.5%,3
91,Shota Imanaga,CHC,10,9,4.14,26,26,0,0,,155.0,634,137,76,71,30,33,0,5,135,7.86,1.90,1.10,21.3%,5.2%,12
92,Joey Cantillo,CLE,5,9,4.23,39,19,0,1,,126.0,541,115,64,59,16,53,2,4,134,9.55,3.76,1.33,24.7%,9.7%,1
93,Jameson Taillon,CHC,10,9,4.35,27,27,0,0,,156.1,652,148,81,76,26,40,0,3,120,6.91,2.30,1.20,18.4%,6.1%,12
94,Grant Holmes,ATL,6,7,4.23,29,19,0,1,,118.0,505,111,59,56,15,43,2,5,127,9.68,3.29,1.30,25.1%,8.6%,3
95,Will Warren,NYY,7,8,4.04,35,21,0,1,,123.0,521,111,59,55,16,45,1,5,121,8.88,3.27,1.26,23.3%,8.6%,3
96,Nick Lodolo,CIN,8,10,4.74,26,26,0,0,,149.0,638,143,84,79,27,39,0,18,160,9.65,2.33,1.22,25.1%,6.1%,11
97,Casey Mize,DET,8,9,4.28,26,26,0,0,,143.0,601,137,73,68,21,40,0,5,116,7.32,2.49,1.23,19.3%,6.6%,10
98,Max Meyer,MIA,7,9,4.12,27,22,0,1,,125.0,526,119,61,57,16,40,1,4,113,8.15,2.86,1.27,21.5%,7.5%,6
99,Foster Griffin,WSN,5,9,4.23,27,19,0,1,,118.1,505,111,60,56,15,42,1,6,113,8.58,3.20,1.30,22.3%,8.3%,4
100,Logan Henderson,MIL,6,7,3.94,33,17,0,1,,111.0,454,91,52,49,20,30,1,4,121,9.79,2.42,1.09,26.6%,6.6%,2
101,Shane Baz,BAL,9,9,4.37,27,27,0,0,,151.2,642,133,79,74,25,56,0,8,144,8.52,3.30,1.25,22.4%,8.7%,11
